"ComputerName","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","CreationTime","Duration","ParentProcessId","ProcessID","ProcessName","CommandLine","MD5Hash","ExecutablePath","Protocol","PSComputerName","RunspaceId","PSShowComputerName"
"127.0.0.1","192.168.68.122","50276","13.32.196.87","443","Established","1/24/2021 12:17:26 AM","00:00:25.6420915","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50265","172.217.164.163","443","Established","1/24/2021 12:17:23 AM","00:00:28.8056291","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50258","52.167.253.237","443","Established","1/24/2021 12:16:20 AM","00:01:31.8326300","884","7300","svchost.exe","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc","9520A99E77D6196D0D09833146424113","C:\WINDOWS\system32\svchost.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50255","172.217.5.234","443","Established","1/24/2021 12:15:12 AM","00:02:39.8476307","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50254","172.217.2.110","443","Established","1/24/2021 12:15:10 AM","00:02:41.8746337","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50252","172.217.9.195","443","TimeWait","12/31/1600 7:00:00 PM","153425.05:17:51.9356313","0","0","System Idle Process",,"",,"TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50251","130.211.16.53","443","Established","1/24/2021 12:15:01 AM","00:02:51.0226319","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50248","23.221.72.201","443","CloseWait","1/24/2021 12:15:01 AM","00:02:51.0506310","1036","11172","SearchUI.exe","""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca","B031A5C9D823CDCAC36188E6BDBF04C1","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50245","172.217.2.110","443","Established","1/24/2021 12:15:00 AM","00:02:52.2016323","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50244","104.26.11.240","443","TimeWait","12/31/1600 7:00:00 PM","153425.05:17:52.3226299","0","0","System Idle Process",,"",,"TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50243","104.26.11.240","443","TimeWait","12/31/1600 7:00:00 PM","153425.05:17:52.3436309","0","0","System Idle Process",,"",,"TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50204","13.32.196.124","443","TimeWait","12/31/1600 7:00:00 PM","153425.05:17:52.3606339","0","0","System Idle Process",,"",,"TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50203","172.217.12.227","443","TimeWait","12/31/1600 7:00:00 PM","153425.05:17:52.3796306","0","0","System Idle Process",,"",,"TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","50188","99.84.218.165","443","Established","1/24/2021 12:10:30 AM","00:07:22.3956339","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","49993","104.45.188.91","443","CloseWait","1/24/2021 12:04:52 AM","00:13:00.4306307","1036","9728","SystemSettings.exe","""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel","E049A2E240CDC12F858C9FA6F6563407","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
"127.0.0.1","192.168.68.122","49983","23.207.202.203","443","CloseWait","1/24/2021 12:04:35 AM","00:13:17.4946280","1036","10804","WinStore.App.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca","2CB4A6BEC02764BC6DE39152FE3DB14D","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe","TCP","127.0.0.1","803f5e27-e3dc-4562-942c-ca79a900b86b","True"
