"ComputerName","Enabled","Name","DisplayName","Description","DisplayGroup","Group","Profile","Direction","Action","EdgeTraversalPolicy","LooseSourceMapping","LocalOnlyMapping","Owner","EnforcementStatus","Status","PrimaryStatus","PolicyStoreSource","PolicyStoreSourceType","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","2","SNMPTRAP-In-UDP","SNMP Trap Service (UDP In)","Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]","SNMP Trap","@firewallapi.dll,-50323","Private, Public","1","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","2","SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]","SNMP Trap","@firewallapi.dll,-50323","Domain","1","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","1","WiFiDirect-KM-Driver-In-TCP","WFD Driver-only (TCP-In)","Inbound rule for drivers to communicate over WFD (TCP-In)","WLAN Service - WFD Services Kernel Mode Driver Rules","@wlansvc.dll,-36865","Any","1","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","1","WiFiDirect-KM-Driver-Out-TCP","WFD Driver-only (TCP-Out)","Inbound rule for drivers to communicate over WFD (TCP-Out)","WLAN Service - WFD Services Kernel Mode Driver Rules","@wlansvc.dll,-36865","Any","2","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","1","WiFiDirect-KM-Driver-In-UDP","WFD Driver-only (UDP-In)","Inbound rule for drivers to communicate over WFD (UDP-In)","WLAN Service - WFD Services Kernel Mode Driver Rules","@wlansvc.dll,-36865","Any","1","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","1","WiFiDirect-KM-Driver-Out-UDP","WFD Driver-only (UDP-Out)","Inbound rule for drivers to communicate over WFD (UDP-Out)","WLAN Service - WFD Services Kernel Mode Driver Rules","@wlansvc.dll,-36865","Any","2","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","1","DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","Inbound rule to allow Delivery Optimization to connect to remote endpoints","Delivery Optimization","@%systemroot%\system32\dosvc.dll,-100","Any","1","2","1","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","1","DeliveryOptimization-UDP-In","Delivery Optimization (UDP-In)","Inbound rule to allow Delivery Optimization to connect to remote endpoints","Delivery Optimization","@%systemroot%\system32\dosvc.dll,-100","Any","1","2","1","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","2","PNRPMNRS-PNRP-In-UDP","Windows Collaboration Computer Name Registration Service (PNRP-In)","Inbound rule for the Windows Collaboration Computer Name Registration Service to allow Peer Name Resolution. [UDP 3540]","Windows Collaboration Computer Name Registration Service","@FirewallAPI.dll,-34002","Any","1","2","3","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","2","PNRPMNRS-PNRP-Out-UDP","Windows Collaboration Computer Name Registration Service (PNRP-Out)","Outbound rule for the Windows Collaboration Computer Name Registration Service to allow Peer Name Resolution. [UDP 3540]","Windows Collaboration Computer Name Registration Service","@FirewallAPI.dll,-34002","Any","2","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
"WIN10-01","2","PNRPMNRS-SSDPSrv-In-UDP","Windows Collaboration Computer Name Registration Service (SSDP-In)","Inbound rule for the Windows Collaboration Computer Name Registration Service to allow use of the Simple Service Discovery Protocol. [UDP 1900]","Windows Collaboration Computer Name Registration Service","@FirewallAPI.dll,-34002","Any","1","2","0","False","False",,"0","The rule was parsed successfully from the store.","1","PersistentStore","1","localhost","68fc54a2-3501-4a91-9aab-e479bb8dfb8a","False"
