"ComputerName","Name","ProcessID","ParentProcessName","ParentProcessID","ServiceInfo","StartTime","Duration","CPU","TotalProcessorTime","NetworkConnections","NetworkConnectionCount","CommandLine","Path","WorkingSet","MemoryUsage","MD5Hash","SignerCertificate","StatusMessage","SignerCompany","Company","Product","ProductVersion","Description","Modules","ModuleCount","Threads","ThreadCount","Handle","Handles","HandleCount","Owner","OwnerSID","PSShowComputerName","PSComputerName","RunspaceId"
"WIN10-01","Idle","0","Idle","0","AJRouter [Manual Start By NT AUTHORITY\LocalService]
",,,,,,"0",,,"8192","8 KB",,,,,,,,,,"0","0","1",,"0","0",,,"True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","System","4","Idle","0",,"3/3/2021 10:41:38 AM","00:07:05.3636900","3.421875","00:00:03.4218750","[Listen] ::;47001 <--> ::;0 [03/03/2021 07:41:45]
[Established] fe80::91b4:e80e:4bbf:821c%9;5985 <--> fe80::f000:fdd2:8308:c686%9;63714 [03/03/2021 07:48:43]
[Established] fe80::91b4:e80e:4bbf:821c%9;5985 <--> fe80::f000:fdd2:8308:c686%9;63710 [03/03/2021 07:48:42]
[Listen] ::;5985 <--> ::;0 [03/03/2021 07:41:45]
[Listen] ::;5357 <--> ::;0 [03/03/2021 07:41:53]
[Listen] ::;445 <--> ::;0 [03/03/2021 07:41:44]
[Established] 10.10.10.101;5985 <--> 10.10.10.100;63717 [03/03/2021 07:48:43]
[Listen] 169.254.130.28;139 <--> 0.0.0.0;0 [03/03/2021 07:41:51]
[Listen] 10.10.10.101;139 <--> 0.0.0.0;0 [03/03/2021 07:41:45]","9",,,"90112","88 KB",,,,,,,,,,"0","12,16,20,24,28,32,36,40,44,48,56,60,64,68,80,84,88,92,96,100,104,112,116,120,128,132,136,140,144,148,152,156,164,168,172,176,180,184,188,192,196,200,204,208,212,216,220,224,228,232,236,240,244,248,252,256,260,264,276,280,284,288,292,296,300,304,308,312,316,320,324,332,336,344,348,352,356,360,364,368,372,376,380,388,392,396,408,436,500,524,528,532,536,540,600,880,1840,1844,1848,1852,1856,1860,1912,1936,2092,2200,2216,2220,2224,2372,2376,2428,2564,2588,2592,2596,2648,2908,2948,2500,2476,2516,2944,3088,3092,2120,3412,1004,1916","129",,"1665","1665",,,"True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","Registry","72","System","4",,"3/3/2021 10:41:37 AM","00:07:06.8135712","0.328125","00:00:00.3281250",,"0",,,"11636736","11.1 MB",,,,,,,,,,"0","76,476,480,484","4",,"0","0","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","smss","400","System","4",,"3/3/2021 10:41:38 AM","00:07:05.3620277","0.078125","00:00:00.0781250",,"0",,,"438272","428 KB",,,,,,,,,,"0","404,416","2",,"53","53","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","csrss","504",,"492",,"3/3/2021 10:41:39 AM","00:07:04.3869641","0.140625","00:00:00.1406250",,"0",,,"2502656","2.39 MB",,,,,,,,,,"0","516,544,552,556,560,592,616,624,872","9",,"344","344","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","wininit","572",,"492",,"3/3/2021 10:41:39 AM","00:07:04.3360906","0.046875","00:00:00.0468750","[Listen] ::;49665 <--> ::;0 [03/03/2021 07:41:40]
[Listen] 0.0.0.0;49665 <--> 0.0.0.0;0 [03/03/2021 07:41:40]","2",,,"3584000","3.42 MB",,,,,,,,,,"0","576","1",,"164","164","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","csrss","580","svchost","564",,"3/3/2021 10:41:39 AM","00:07:04.3317914","0.078125","00:00:00.0781250",,"0",,,"2654208","2.53 MB",,,,,,,,,,"0","608,620,644,652,656,660,692,728,732,956","10",,"167","167","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","services","632","wininit","572",,"3/3/2021 10:41:40 AM","00:07:04.2954338","0.609375","00:00:00.6093750","[Listen] ::;49670 <--> ::;0 [03/03/2021 07:41:45]
[Listen] 0.0.0.0;49670 <--> 0.0.0.0;0 [03/03/2021 07:41:45]","2",,,"6512640","6.21 MB",,,,,,,,,,"0","764,884,1924,2712,2884,724","6",,"357","357","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","winlogon","664","svchost","564",,"3/3/2021 10:41:40 AM","00:07:04.2818056","0.078125","00:00:00.0781250",,"0","winlogon.exe","C:\Windows\system32\winlogon.exe","4706304","4.49 MB","A4D74C4A92007E3D6B893187F67DEA65C15A0A551E1F8956685D115A3F202958","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.1","Windows Logon Application","winlogon.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll sechost.dll RPCRT4.dll combase.dll ucrtbase.dll advapi32.dll powrprof.dll UMPDC.dll profapi.dll user32.dll win32u.dll GDI32.dll gdi32full.dll msvcp_win.dll IMM32.DLL winsta.dll SspiCli.dll USERENV.dll profext.dll ntmarta.dll Bcrypt.dll bcryptprimitives.dll firewallapi.dll DNSAPI.dll IPHLPAPI.DLL NSI.dll fwbase.dll uxinit.dll shcore.dll dwmapi.dll UxTheme.dll CRYPT32.dll DPAPI.dll CRYPTBASE.dll dwminit.dll apphelp.dll","40","668,968","2","4756","211","211","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
"WIN10-01","lsass","676","wininit","572","KeyIso [Manual Start By LocalSystem]
","3/3/2021 10:41:40 AM","00:07:04.2767849","0.46875","00:00:00.4687500","[Listen] ::;49668 <--> ::;0 [03/03/2021 07:41:45]
[Listen] ::;49664 <--> ::;0 [03/03/2021 07:41:40]
[Listen] 0.0.0.0;49668 <--> 0.0.0.0;0 [03/03/2021 07:41:45]
[Listen] 0.0.0.0;49664 <--> 0.0.0.0;0 [03/03/2021 07:41:40]","4","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","13504512","12.88 MB","56E91451FEAD9946ACA8E2F0AAE99FDEA302FD90F0708F68013BDDEDAB580F3B","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","10.0.19041.546","Local Security Authority Process","lsass.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll RPCRT4.dll lsasrv.dll ucrtbase.dll SspiCli.dll WS2_32.dll sechost.dll WLDAP32.dll MSASN1.dll samsrv.dll bcrypt.dll CRYPT32.dll ncrypt.dll NTASN1.dll Wldp.dll msvcrt.dll advapi32.dll bcryptprimitives.dll msprivs.DLL netprovfw.dll JOINUTIL.DLL negoexts.DLL CRYPTBASE.dll CRYPTSP.dll kerberos.DLL msvcp_win.dll KerbClientShared.dll cryptdll.dll mswsock.dll msv1_0.DLL NtlmShared.dll netlogon.DLL gmsaclient.dll DNSAPI.dll netutils.dll logoncli.dll powrprof.dll USERENV.dll IPHLPAPI.DLL NSI.dll UMPDC.dll tspkg.DLL pku2u.DLL cloudAP.DLL profapi.dll aadcloudap.dll combase.dll wkscli.dll msvcp110_win.dll MicrosoftAccountCloudAP.dll DPAPI.DLL rsaenh.dll wdigest.DLL schannel.DLL efslsaext.dll shcore.dll dpapisrv.dll SspiSrv.dll winsta.dll KDCPW.DLL scecli.DLL secur32.dll AUTHZ.dll gpapi.dll wevtapi.dll keyiso.dll NCRYPTPROV.DLL ngcpopkeysrv.dll OLEAUT32.dll cfgmgr32.dll DEVOBJ.dll PCPKsp.dll ntmarta.dll tbs.dll imagehlp.dll ncryptsslp.dll dssenh.dll mskeyprotect.dll rasadhlp.dll fwpuclnt.dll DSPARSE.dll ntdsapi.dll winbrand.dll","86","708,712,716,720,740,744,520,2264,816","9","6692","982","982","NT AUTHORITY\SYSTEM","S-1-5-18","True","localhost","78f32896-20cd-4258-a54c-befa7ed32626"
