"ComputerName","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","504","504",,"3/3/2021 10:41:39 AM","4980736",,"327","10",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","580","580",,"3/3/2021 10:41:39 AM","4845568",,"170","11",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","976","976","C:\Windows\system32\dwm.exe","3/3/2021 10:41:40 AM","34013184","2500","778","17","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","2352","2352","C:\Program Files (x86)\FileZilla Server\FileZilla Server.exe","3/3/2021 10:41:45 AM","11177984","2544","142","10","FileZilla Project","FileZilla Server","FileZilla Server","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","800","800","C:\Windows\system32\fontdrvhost.exe","3/3/2021 10:41:40 AM","3706880","2584","39","6","Microsoft Corporation","Microsoft? Windows? Operating System","Usermode Font Driver Host","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","808","808","C:\Windows\system32\fontdrvhost.exe","3/3/2021 10:41:40 AM","3821568","2624","39","6","Microsoft Corporation","Microsoft? Windows? Operating System","Usermode Font Driver Host","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","0","0",,,"8192",,"0","1",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","984","984","C:\Windows\system32\LogonUI.exe","3/3/2021 10:41:40 AM","55713792","2700","652","21","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon User Interface Host","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","676","676","C:\Windows\system32\lsass.exe","3/3/2021 10:41:40 AM","16777216","2740","959","12","Microsoft Corporation","Microsoft? Windows? Operating System","Local Security Authority Process","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","2000","2000",,"3/3/2021 10:41:44 AM","3149824",,"0","6",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","2452","2452",,"3/3/2021 10:41:45 AM","93196288",,"544","28",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","3060","3060",,"3/3/2021 10:41:48 AM","8781824",,"178","5",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","72","72",,"3/3/2021 10:41:37 AM","71233536",,"0","4",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","632","632",,"3/3/2021 10:41:40 AM","7950336",,"362","13",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","4052","4052","C:\Windows\System32\SLUI.exe","3/3/2021 10:42:49 AM","13455360","2960","188","7","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Activation Client","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","400","400",,"3/3/2021 10:41:38 AM","1286144",,"53","4",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","2228","2228","C:\Windows\System32\spoolsv.exe","3/3/2021 10:41:45 AM","6385664","3036","158","5","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","4024","4024","C:\Windows\system32\SppExtComObj.exe","3/3/2021 10:42:49 AM","8241152","3080","154","6","Microsoft Corporation","Microsoft? Windows? Operating System","KMS Connection Broker","localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
"WIN10-01","3992","3992",,"3/3/2021 10:42:49 AM","14807040",,"234","6",,,,"localhost","ed5a6a0d-d948-4855-b563-b5843c701797","False"
