"ComputerName","Status","Name","DisplayName","RequiredServices","StartType","CanPauseAndContinue","CanShutdown","CanStop","ServiceHandle","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","Stopped","AJRouter","AllJoyn Router Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","ALG","Application Layer Gateway Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","AppIDSvc","Application Identity","RpcSs CryptSvc AppID","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","Appinfo","Application Information","RpcSs ProfSvc","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","AppMgmt","Application Management","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","AppReadiness","App Readiness","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","AppVClient","Microsoft App-V Client","AppvVfs RpcSS AppvStrm netprofm","Disabled","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","StartPending","AppXSvc","AppX Deployment Service (AppXSVC)","rpcss staterepository","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","","Automatic","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
