Name,Type,Command_Linux,Command_WinRM_PoSh,Command_SMB_PoSh,Command_RPC_Posh,Command_WinRM_WMI,Command_SMB_WMI,Command_RPC_WMI,Command_WinRM_Cmd,Command_SMB_Cmd,Command_RPC_Cmd,Command_WinRS_WMIC,Command_WinRS_CMD,Properties_PoSh,Properties_WMI,Description,ExportFileName
Accounts (Local Users),"User, Hunt, Charts",cat /etc/passwd,Invoke-Command -ScriptBlock { Get-LocalUser },Get-LocalUser,,"Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_UserAccount -Filter ""LocalAccount='True'"" }","Get-WmiObject -Class Win32_UserAccount -Filter ""LocalAccount='True'""","Get-WmiObject -Class Win32_UserAccount -Filter ""LocalAccount='True'""",Invoke-Command -ScriptBlock { & net user },net user,net user,winrs wmic useraccount where localaccount=true list brief,winrs net user,"PSComputerName, Name, Enabled, SID, LastLogon, AccountExpires, PasswordRequired, UserMayChangePassword, PasswordExpires, PasswordLastSet, PasswordChangeableDate, Description, FullName","PSComputerName, Name, Disabled, AccountType, Lockout, PasswordChangeable, PasswordRequired, SID, SIDType, LocalAccount, Domain, Caption, Description","Gets default built-in user accounts, local user accounts that were created, and local accounts that were connected to Microsoft accounts.",Accounts (Local Users)
Accounts (Local Administrators),"User, Hunt",getent group root wheel adm admin || getent passwd 0 || grep 'x:0:' /etc/passwd,,,,Invoke-Command -ScriptBlock { Get-LocalGroupMember -Group administrators },Get-LocalGroupMember -Group administrators,,Invoke-Command -ScriptBlock { & net localgroup administrators },net localgroup administrators,net localgroup administrators,,winrs net localgroup administrators,"PSComputerName,Name, SID, ObjectClass, PrincipalSource","PSComputerName, * -ErrorAction SilentlyContinue","Gets default built-in user accounts, local user accounts that were created, and local accounts that were connected to Microsoft accounts.

Investigate unauthorized administrator accounts. Utilize the best practice of 'least priviledge' and minimize the number of administrator accounts. Users should only use administrator accounts to when needed.",Accounts (Local Administrators)
Accounts with sudo,"User, Hunt",cat /etc/sudoers ,,,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets the contents of the /etc/sudoers file to see who has what sudo permissions,Accounts with sudo
Anti Virus Product,System,,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Namespace root\SecurityCenter2 -Class AntivirusProduct },Get-WmiObject -Namespace root\SecurityCenter2 -Class AntivirusProduct,Get-WmiObject -Namespace root\SecurityCenter2 -Class AntivirusProduct,,,,,,"PSComputerName, DisplayName, pathToSignedReportingExe","PSComputerName, DisplayName, pathToSignedReportingExe",Retrieves Antivirus Information,Anti Virus Product
ARP Cache,Network,arp -a || cat /proc/net/arp,,Invoke-Command -ScriptBlock { Get-NetNeighbor },Get-NetNeighbor,,,,,Invoke-Command -ScriptBlock { & arp -a },arp -a,,winrs arp -a,"PSComputerName, State, IPAddress, LinkLayerAddress, InterfaceAlias, InterfaceIndex","PSComputerName, State, IPAddress, LinkLayerAddress, PolicyStore","Gets IP addresses and link-layer addresses from ARP/neighbor cache entries.

Older versions of Windows used to have a timeout of 2 minutes for ARP entries. This has changed in Vista and Server 2008 onwards to comply with RFC 4861. The new implementation has lowered this time to a random value between 15 and 45 seconds.",ARP Cache
Audit Policy,Baseline,auditctl -l,,,,,,,Invoke-Command -ScriptBlock { & auditpol /get /category:* /r | Convertfrom-Csv  },auditpol /get /category:* /r,auditpol /get /category:* /r,,winrs auditpol /get /category:*,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue","Gets the current audit policy for all subcategories: No Auditing, Success, Failure",Audit Policy
BIOS Info,Hardware,dmidecode -t bios || dmidecode -t 0,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_BIOS },Get-WmiObject -Class Win32_BIOS,Get-WmiObject -Class Win32_BIOS,,,,winrs wmic bios list brief,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, SMBIOSBIOSVersion, Name, Manufacturer, SerialNumber, Version, Description, @{Name=""ReleaseDate"";Expression={$_.ConvertToDatetime($_.ReleaseDate)}}, InstallDate",Gets the basic input/output services (BIOS) that are installed.,BIOS Info
Current Login Activity,"Account, Hunt",w,Invoke-Command -ScriptBlock { Get-WSManInstance -ResourceURI Shell -Enumerate },,,,,Get-WSManInstance -ResourceURI Shell -Enumerate,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets Current Login Activity,Current Login Activity
Date Info,System,date,Invoke-Command -ScriptBlock { Get-Date },Get-Date,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_OperatingSystem },Get-WmiObject -Class Win32_OperatingSystem,Get-WmiObject -Class Win32_OperatingSystem,Invoke-Command -ScriptBlock { & date /t },date /t,date /t,,winrs date /t,"PSComputerName, DateTime","PSComputerName, @{n=""InstallDateFormatted"";e={$_.ConvertToDateTime($_.InstallDate)}},@{n=""LastBootupTimeFormatted"";e={$_.ConvertToDateTime($_.LastBootupTime)}},@{n=""LocalDateTimeFormatted"";e={$_.ConvertToDateTime($_.LocalDateTime)}},InstallDate, LastBootUpTime, LocalDateTime",Gets the current date and time.,Date Info
Disk - Logical Info,System,fdisk -l || parted -l || lsblk,Invoke-Command -ScriptBlock { Get-PSDrive },Get-PSDrive,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_LogicalDisk },Get-WmiObject -Class Win32_LogicalDisk,Get-WmiObject -Class Win32_LogicalDisk,,,,winrs wmic LogicalDisk list brief,,"PSComputerName, Free, Used, Description, Provider, Root","PSComputerName, FreeSpace, Size, Description, ProviderName, DeviceID, @{name=""DriveType"";expression={ if ($_.DriveType -eq 2){""2: Removeable Disk""} elseif ($_.DriveType -eq 3){""3: Fixed Local Disk""} elseif ($_.DriveType -eq 4){""4: Network Disk""} elseif ($_.DriveType -eq 5){""5: Compact Disk""} else {""$($_.DriveType): Unknown""} }}, VolumeName",Gets logical disk/drive information.,Disk (Logical Info)
