Command,Description
alias,Create an alias 
apropos,Search Help manual pages (man -k)
apt,Search for and install software packages (Debian/Ubuntu)
apt-get,Search for and install software packages (Debian/Ubuntu)
aptitude,Search for and install software packages (Debian/Ubuntu)
aspell,Spell Checker
at,Schedule a command to run once at a particular time
awk,"Find and Replace text, database sort/validate/index"
base32,Base32 encode/decode data and print to standard output
base64,Base64 encode/decode data and print to standard output
basename,Strip directory and suffix from filenames
bash,GNU Bourne-Again SHell
bc,Arbitrary precision calculator language
bg,Send to background
bind,Set or display readline key and function bindings 
break,Exit from a loop 
builtin,Run a shell builtin
bzip2,Compress or decompress named file(s)
cal,Display a calendar
caller,Return the context of any active subroutine call 
case,Conditionally perform a command
cat,Concatenate and print (display) the content of files
cd,Change Directory
cfdisk,Partition table manipulator for Linux
chattr,Change file attributes on a Linux file system
chgrp,Change group ownership
chkconfig,System services (runlevel)
chmod,Change access permissions
chown,Change file owner and group
chpasswd,Update passwords in batch mode
chroot,Run a command with a different root directory
cksum,Print CRC checksum and byte counts
clear,Clear terminal screen
cmp,Compare two files
comm,Compare two sorted files line by line
command,Run a command - ignoring shell functions 
continue,Resume the next iteration of a loop 
cp,Copy one or more files to another location
cpio,Copy files to and from archives
cron,Daemon to execute scheduled commands
crontab,Schedule a command to run at a later time
csplit,Split a file into context-determined pieces
curl,Transfer data from or to a server
cut,Divide a file into several parts
date,Display or change the date & time
dc,Desk Calculator
dd,"Data Duplicator - convert and copy a file, write disk headers, boot records"
ddrescue,Data recovery tool
declare,Declare variables and give them attributes 
df,Display free disk space
diff,Display the differences between two files
diff3,Show differences among three files
dig,DNS lookup
dir,Briefly list directory contents
dircolors,Colour setup for 'ls'
dirname,Convert a full pathname to just a path
dirs,Display list of remembered directories
dmesg,Print kernel & driver messages
dos2unix,Windows/MAC to UNIX text file format converter
dpkg,Package manager (Debian/Ubuntu).
du,Estimate file space usage
echo,Display message on screen 
egrep,Search file(s) for lines that match an extended expression
eject,Eject removable media
enable,Enable and disable builtin shell commands 
env,Environment variables
ethtool,Ethernet card settings
eval,Evaluate several commands/arguments
exec,Execute a command
exit,Exit the shell
expand,Convert tabs to spaces
expect,Automate arbitrary applications accessed over a terminal
export,Set an environment variable
expr,Evaluate expressions
fdformat,Low-level format a floppy disk
fdisk,Partition table manipulator for Linux
fg,Send job to foreground
fgrep,Search file(s) for lines that match a fixed string
file,Determine file type
find,Search for files that meet a desired criteria
fmt,Reformat paragraph text
fold,Wrap text to fit a specified width
for,"Expand words, and execute commands"
format,Format disks or tapes
free,Display memory usage
fsck,File system consistency check and repair
ftp,File Transfer Protocol
function,Define Function Macros
fuser,Identify/kill the process that is accessing a file
gawk,Find and Replace text within file(s)
getopts,Parse positional parameters
grep,Search file(s) for lines that match a given pattern
groupadd,Add a user security group
groupdel,Delete a group
groupmod,Modify a group
groups,Print group names a user is in
gzip,Compress or decompress named file(s)
hash,Remember the full pathname of a name argument
head,Output the first part of file(s)
help,Display help for a built-in command 
history,Command History
hostname,Print or set system name
