"PSComputerName","MACAddress","IPAddress","IpSubnet","DefaultIPGateway","Description","ServiceName","IPEnabled","DHCPEnabled","DNSHostName","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DomainDNSRegistrationEnabled","FullDNSRegistrationEnabled","DNSServerSearchOrder","WinsPrimaryServer","WINSSecondaryServer"
"MEGATRON",,"","","","WAN Miniport (L2TP)","Rasl2tp","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (SSTP)","RasSstp","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (IKEv2)","RasAgileVpn","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (PPTP)","PptpMiniport","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (PPPOE)","RasPppoe","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (IP)","NdisWan","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (IPv6)","NdisWan","False","False",,"",,,,"","",""
"MEGATRON",,"","","","WAN Miniport (Network Monitor)","NdisWan","False","False",,"",,,,"","",""
"MEGATRON",,"","","","Microsoft Kernel Debug Network Adapter","kdnic","False","True",,"",,,,"","",""
"MEGATRON","D0:50:99:5D:E3:B1","10.13.14.81","255.255.255.0","0.0.0.0; 10.13.14.101","Realtek PCIe GBE Family Controller","RTL8168","True","False","Megatron","komnick.com","False","False","True","127.0.0.1; 10.13.14.101","",""
"MEGATRON",,"","","","TP-LINK Wireless PCI Express Adapter","athr","False","True",,"",,,,"","",""
"MEGATRON",,"","","","Hyper-V Virtual Ethernet Adapter","VMSMP","False","True",,"",,,,"","",""
"MEGATRON",,"","","","Microsoft ISATAP Adapter","tunnel","False","False",,"",,,,"","",""
