"PSComputerName","Name","ProcessId","ParentProcessId","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate","Description"
"PHOENIX","System Idle Process","0","0",,"4096","0","0","8",,"System Idle Process"
"PHOENIX","System","4","0",,"1560576","4","1648","145",,"System"
"PHOENIX","smss","360","4",,"1105920","360","44","2",,"smss.exe"
"PHOENIX","csrss","512","500",,"4292608","512","390","9",,"csrss.exe"
"PHOENIX","wininit","612","500","C:\Windows\system32\wininit.exe","4100096","612","77","1",,"wininit.exe"
"PHOENIX","csrss","620","604",,"10399744","620","613","15",,"csrss.exe"
"PHOENIX","winlogon","672","604","C:\Windows\system32\winlogon.exe","13602816","672","261","2",,"winlogon.exe"
"PHOENIX","services","712","612",,"7483392","712","267","5",,"services.exe"
"PHOENIX","lsass","736","612","C:\Windows\system32\lsass.exe","19148800","736","1251","8",,"lsass.exe"
"PHOENIX","svchost","812","712","C:\Windows\system32\svchost.exe","13926400","812","535","9",,"svchost.exe"
"PHOENIX","svchost","860","712","C:\Windows\system32\svchost.exe","9134080","860","500","9",,"svchost.exe"
"PHOENIX","atiesrxx","964","712","C:\Windows\system32\atiesrxx.exe","3522560","964","117","5",,"atiesrxx.exe"
"PHOENIX","dwm","972","672","C:\Windows\system32\dwm.exe","39100416","972","179","7",,"dwm.exe"
"PHOENIX","svchost","996","712","C:\Windows\System32\svchost.exe","26087424","996","988","40",,"svchost.exe"
"PHOENIX","svchost","328","712","C:\Windows\system32\svchost.exe","52920320","328","1944","46",,"svchost.exe"
"PHOENIX","svchost","608","712","C:\Windows\system32\svchost.exe","22798336","608","738","23",,"svchost.exe"
"PHOENIX","svchost","888","712","C:\Windows\System32\svchost.exe","41918464","888","1184","23",,"svchost.exe"
"PHOENIX","SbieSvc","1132","712","C:\Program Files\Sandboxie\SbieSvc.exe","4927488","1132","112","34",,"SbieSvc.exe"
"PHOENIX","WUDFHost","1332","888","C:\Windows\System32\WUDFHost.exe","5058560","1332","212","5",,"WUDFHost.exe"
"PHOENIX","svchost","1388","712","C:\Windows\system32\svchost.exe","28917760","1388","1101","47",,"svchost.exe"
"PHOENIX","spoolsv","1620","712","C:\Windows\System32\spoolsv.exe","12414976","1620","422","11",,"spoolsv.exe"
"PHOENIX","ac","1664","712","C:\Program Files\Common Files\ActivIdentity\ac.sharedstore.exe","6778880","1664","115","5",,"ac.sharedstore.exe"
"PHOENIX","svchost","1820","712","C:\Windows\system32\svchost.exe","9678848","1820","365","17",,"svchost.exe"
"PHOENIX","acevents","1836","1664","C:\Program Files\ActivIdentity\ActivClient\acevents.exe","9809920","1836","176","5",,"acevents.exe"
"PHOENIX","svchost","1856","712","C:\Windows\system32\svchost.exe","35225600","1856","504","22",,"svchost.exe"
"PHOENIX","armsvc","1112","712","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","4448256","1112","90","3",,"armsvc.exe"
"PHOENIX","Fuel","1296","712","C:\Program Files\ATI Technologies\ATI.ACE\Fuel\Fuel.Service.exe","5640192","1296","104","5",,"Fuel.Service.exe"
"PHOENIX","remoting_host","1508","712","C:\Program Files (x86)\Google\Chrome Remote Desktop\79.0.3945.10\remoting_host.exe","7987200","1508","152","5",,"remoting_host.exe"
"PHOENIX","officeclicktorun","1868","712","C:\Program Files\Microsoft Office 15\ClientX64\OfficeClickToRun.exe","42455040","1868","482","10",,"officeclicktorun.exe"
"PHOENIX","remoting_host","1696","1508","C:\Program Files (x86)\Google\Chrome Remote Desktop\79.0.3945.10\remoting_host.exe","16797696","1696","400","18",,"remoting_host.exe"
"PHOENIX","svchost","2128","712","C:\Windows\System32\svchost.exe","11313152","2128","206","9",,"svchost.exe"
"PHOENIX","dasHost","2164","888","C:\Windows\system32\dashost.exe","4337664","2164","138","2",,"dasHost.exe"
"PHOENIX","sqlwriter","2232","712","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","6193152","2232","100","3",,"sqlwriter.exe"
"PHOENIX","svchost","2296","712","C:\Windows\system32\svchost.exe","6639616","2296","143","7",,"svchost.exe"
"PHOENIX","synergyd","2324","712","C:\Program Files\Synergy\synergyd.exe","5296128","2324","3034","8",,"synergyd.exe"
"PHOENIX","Sysmon","2416","712","C:\Windows\Sysmon.exe","17891328","2416","361","9",,"Sysmon.exe"
"PHOENIX","vmnat","2548","712","C:\WINDOWS\SYSWOW64\VMNAT.EXE","4968448","2548","97","5",,"vmnat.exe"
"PHOENIX","MsMpEng","1512","712",,"176050176","1512","603","39",,"MsMpEng.exe"
"PHOENIX","vmware-authd","2852","712","C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe","8941568","2852","245","7",,"vmware-authd.exe"
"PHOENIX","unsecapp","2724","812","C:\Windows\system32\wbem\unsecapp.exe","4845568","2724","86","3",,"unsecapp.exe"
"PHOENIX","vmnetdhcp","2720","712","C:\WINDOWS\SYSWOW64\VMNETDHCP.EXE","10530816","2720","48","3",,"vmnetdhcp.exe"
"PHOENIX","vmware-usbarbitrator64","3032","712","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe","7888896","3032","164","4",,"vmware-usbarbitrator64.exe"
"PHOENIX","vmware-hostd","3152","712","C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe","51286016","3152","447","12",,"vmware-hostd.exe"
"PHOENIX","WUDFHost","3496","888","C:\Windows\System32\WUDFHost.exe","5713920","3496","213","8",,"WUDFHost.exe"
"PHOENIX","WmiPrvSE","3720","812","C:\Windows\system32\wbem\wmiprvse.exe","16199680","3720","306","9",,"WmiPrvSE.exe"
"PHOENIX","NisSrv","4232","712",,"8171520","4232","285","9",,"NisSrv.exe"
"PHOENIX","atieclxx","4332","964","C:\Windows\system32\atieclxx.exe","7622656","4332","183","10",,"atieclxx.exe"
"PHOENIX","taskhostex","4944","328","C:\Windows\system32\taskhostex.exe","12324864","4944","281","9",,"taskhostex.exe"
"PHOENIX","GoogleCrashHandler","4396","4936","C:\Program Files (x86)\Google\Update\1.3.35.422\GoogleCrashHandler.exe","1015808","4396","112","3",,"GoogleCrashHandler.exe"
"PHOENIX","GoogleCrashHandler64","4408","4936","C:\Program Files (x86)\Google\Update\1.3.35.422\GoogleCrashHandler64.exe","389120","4408","108","3",,"GoogleCrashHandler64.exe"
"PHOENIX","explorer","3408","4580","C:\Windows\Explorer.EXE","172204032","3408","2017","80",,"explorer.exe"
"PHOENIX","SearchIndexer","5032","712","C:\Windows\system32\SearchIndexer.exe","44449792","5032","949","17",,"SearchIndexer.exe"
"PHOENIX","TabTip","2880","888","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe","11202560","2880","302","13",,"TabTip.exe"
"PHOENIX","TabTip32","5152","2880","C:\Program Files (x86)\Common Files\Microsoft Shared\Ink\TabTip32.exe","3276800","5152","43","1",,"TabTip32.exe"
"PHOENIX","crashpad_handler","5248","3408","C:\Program Files\Google\Drive File Stream\35.0.13.0\crashpad_handler.exe","4153344","5248","67","6",,"crashpad_handler.exe"
"PHOENIX","XBoxStat","5720","3408","C:\Program Files\Microsoft Xbox 360 Accessories\XBoxStat.exe","9682944","5720","154","3",,"XBoxStat.exe"
"PHOENIX","LCore","5824","3408","C:\Program Files\Logitech Gaming Software\LCore.exe","60194816","5824","253","11",,"LCore.exe"
"PHOENIX","LCDPictureViewer","5968","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDPictureViewer.exe","10670080","5968","117","7",,"LCDPictureViewer.exe"
"PHOENIX","LCDMovieViewer","5976","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDMovieViewer.exe","10100736","5976","123","6",,"LCDMovieViewer.exe"
"PHOENIX","LCDClock","5988","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDClock.exe","13242368","5988","114","6",,"LCDClock.exe"
"PHOENIX","LCDYT","6008","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDYT.exe","19070976","6008","305","15",,"LCDYT.exe"
"PHOENIX","LCDMedia","6024","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDMedia.exe","10969088","6024","165","5",,"LCDMedia.exe"
"PHOENIX","LCDCountdown","6060","5824","C:\Program Files\Logitech Gaming Software\Applets\LCDCountdown.exe","11001856","6060","110","5",,"LCDCountdown.exe"
