"PSComputerName","State","Name","ProcessID","Description","PathName","Started","StartMode","StartName"
"2012DATA-DC1","Running","ADWS","1596","This service provides a Web Service interface to instances of the directory service (AD DS and AD LDS) that are running locally on this server. If this service is stopped or disabled, client applications, such as Active Directory PowerShell, will not be able to access or manage any directory service instances that are running locally on this server.","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","True","Auto","LocalSystem"
"2012DATA-DC1","Running","BFE","1272","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","True","Auto","NT AUTHORITY\LocalService"
"2012DATA-DC1","Running","BrokerInfrastructure","884","Windows infrastructure service that controls which background tasks can run on the system.","C:\Windows\system32\svchost.exe -k DcomLaunch","True","Auto","LocalSystem"
"2012DATA-DC1","Running","CertPropSvc","828","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","C:\Windows\system32\svchost.exe -k netsvcs","True","Manual","LocalSystem"
"2012DATA-DC1","Running","COMSysApp","2556","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","True","Manual","LocalSystem"
"2012DATA-DC1","Running","CryptSvc","1152","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k NetworkService","True","Auto","NT Authority\NetworkService"
"2012DATA-DC1","Running","DcomLaunch","884","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","C:\Windows\system32\svchost.exe -k DcomLaunch","True","Auto","LocalSystem"
"2012DATA-DC1","Running","Dfs","1896","Enables you to group shared folders located on different servers into one or more logically structured namespaces. Each namespace appears to users as a single shared folder with a series of subfolders.","C:\Windows\system32\dfssvc.exe","True","Auto","LocalSystem"
"2012DATA-DC1","Running","DFSR","1632","Enables you to synchronize folders on multiple servers across local or wide area network (WAN) network connections. This service uses the Remote Differential Compression (RDC) protocol to update only the portions of files that have changed since the last replication.","C:\Windows\system32\DFSRs.exe","True","Auto","LocalSystem"
"2012DATA-DC1","Running","Dhcp","1020","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","True","Auto","NT Authority\LocalService"
"2012DATA-DC1","Running","DNS","1664","Enables DNS clients to resolve DNS names by answering DNS queries and dynamic DNS update requests. If this service is stopped, DNS updates will not occur. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\dns.exe","True","Auto","LocalSystem"
