"PSComputerName","State","Name","ProcessID","Description","PathName","Started","StartMode","StartName"
"WIN81-01","Running","AudioEndpointBuilder","896","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","True","Auto","LocalSystem"
"WIN81-01","Running","Audiosrv","736","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","BFE","1216","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","BrokerInfrastructure","592","Windows infrastructure service that controls which background tasks can run on the system.","C:\Windows\system32\svchost.exe -k DcomLaunch","True","Auto","LocalSystem"
"WIN81-01","Running","Browser","780","Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped, this list will not be updated or maintained. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\System32\svchost.exe -k netsvcs","True","Manual","LocalSystem"
"WIN81-01","Running","COMSysApp","372","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","True","Manual","LocalSystem"
"WIN81-01","Running","CryptSvc","1052","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k NetworkService","True","Auto","NT Authority\NetworkService"
"WIN81-01","Running","DcomLaunch","592","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","C:\Windows\system32\svchost.exe -k DcomLaunch","True","Auto","LocalSystem"
"WIN81-01","Running","Dhcp","736","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","True","Auto","NT Authority\LocalService"
"WIN81-01","Running","Dnscache","1052","The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k NetworkService","True","Auto","NT AUTHORITY\NetworkService"
"WIN81-01","Running","DPS","1216","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function.","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","DsmSvc","780","Enables the detection, download and installation of device-related software. If this service is disabled, devices may be configured with outdated software, and may not work correctly.","C:\Windows\system32\svchost.exe -k netsvcs","True","Manual","LocalSystem"
"WIN81-01","Running","esensor","1352",,"""C:\Program Files\Endgame\esensor.exe"" --config ""C:\Program Files\Endgame\esensor.cfg""","True","Auto","LocalSystem"
"WIN81-01","Running","EventLog","736","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","EventSystem","808","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k LocalService","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","FontCache","808","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance.","C:\Windows\system32\svchost.exe -k LocalService","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","gpsvc","780","The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled, the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is disabled.","C:\Windows\system32\svchost.exe -k netsvcs","True","Auto","LocalSystem"
"WIN81-01","Running","IKEEXT","780","The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exchange with peer computers. IPsec is typically configured to use IKE or AuthIP; therefore, stopping or disabling the IKEEXT service might result in an IPsec failure and might compromise the security of the system. It is strongly recommended that you have the IKEEXT service running.","C:\Windows\system32\svchost.exe -k netsvcs","True","Auto","LocalSystem"
"WIN81-01","Running","iphlpsvc","780","Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer.","C:\Windows\System32\svchost.exe -k NetSvcs","True","Auto","LocalSystem"
"WIN81-01","Running","LanmanServer","780","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k netsvcs","True","Auto","LocalSystem"
"WIN81-01","Running","LanmanWorkstation","1052","Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\System32\svchost.exe -k NetworkService","True","Auto","NT AUTHORITY\NetworkService"
"WIN81-01","Running","lmhosts","736","Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","True","Auto","NT AUTHORITY\LocalService"
"WIN81-01","Running","LSM","592","Core Windows Service that manages local user sessions. Stopping or disabling this service will result in system instability.","C:\Windows\system32\svchost.exe -k DcomLaunch","True","Auto","LocalSystem"
"WIN81-01","Running","MpsSvc","1216","Windows Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","True","Auto","NT Authority\LocalService"
"WIN81-01","Running","MSDTC","1528","Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will fail. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\System32\msdtc.exe","True","Manual","NT AUTHORITY\NetworkService"
"WIN81-01","Running","NcbService","896","Brokers connections that allow Windows Store Apps to receive notifications from the internet.","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","True","Manual","LocalSystem"
"WIN81-01","Running","Netlogon","532","Maintains a secure channel between this computer and the domain controller for authenticating users and services. If this service is stopped, the computer may not authenticate users and services and the domain controller cannot register DNS records. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\system32\lsass.exe","True","Auto","LocalSystem"
"WIN81-01","Running","netprofm","808","Identifies the networks to which the computer has connected, collects and stores properties for these networks, and notifies applications when these properties change.","C:\Windows\System32\svchost.exe -k LocalService","True","Manual","NT AUTHORITY\LocalService"
"WIN81-01","Running","NlaSvc","1052","Collects and stores configuration information for the network and notifies programs when this information is modified. If this service is stopped, configuration information might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","C:\Windows\System32\svchost.exe -k NetworkService","True","Auto","NT AUTHORITY\NetworkService"
"WIN81-01","Running","nsi","808","This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled, any other services that explicitly depend on this service will fail to start.","C:\Windows\system32\svchost.exe -k LocalService","True","Auto","NT Authority\LocalService"
"WIN81-01","Running","PcaSvc","896","This service provides support for the Program Compatibility Assistant (PCA).  PCA monitors programs installed and run by the user and detects known compatibility problems. If this service is stopped, PCA will not function properly.","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","True","Manual","LocalSystem"
"WIN81-01","Running","PlugPlay","592","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","C:\Windows\system32\svchost.exe -k DcomLaunch","True","Manual","LocalSystem"
"WIN81-01","Running","PolicyAgent","1984","Internet Protocol security (IPsec) supports network-level peer authentication, data origin authentication, data integrity, data confidentiality (encryption), and replay protection.  This service enforces IPsec policies created through the IP Security Policies snap-in or the command-line tool ""netsh ipsec"".  If you stop this service, you may experience network connectivity issues if your policy requires that connections use IPsec.  Also,remote management of Windows Firewall is not available when this service is stopped.","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted","True","Manual","NT Authority\NetworkService"
