PSComputerName,MACAddress,IPAddress,IpSubnet,DefaultIPGateway,Description,ServiceName,IPEnabled,DHCPEnabled,DNSHostname,DNSDomainSuffixSearchOrder,DNSEnabledForWINSResolution,DomainDNSRegistrationEnabled,FullDNSRegistrationEnabled,DNSServerSearchOrder,WinsPrimaryServer,WINSSecondaryServer
PlayStation,00:0C:29:E6:F8:AA,10.10.10.1,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
PlayStation,00:0C:29:E6:F8:AA,10.10.10.254,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
XBox360,00:0C:29:E6:F8:AA,10.10.10.2,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
Nintendo,00:0C:29:E6:F8:AA,10.10.10.3,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
Nintendo,00:0C:29:E6:F8:AA,10.10.10.4,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
NES,00:0C:29:E6:F8:AA,10.10.10.3,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
2012DATA-DC1,,,,,WAN Miniport (L2TP),Rasl2tp,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (SSTP),RasSstp,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (IKEv2),RasAgileVpn,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (PPTP),PptpMiniport,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (PPPOE),RasPppoe,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (IP),NdisWan,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (IPv6),NdisWan,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,WAN Miniport (Network Monitor),NdisWan,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,Microsoft Kernel Debug Network Adapter,kdnic,FALSE,TRUE,,,,,,,,
2012DATA-DC1,,,,,RAS Async Adapter,AsyncMac,FALSE,FALSE,,,,,,,,
2012DATA-DC1,00:0C:29:E6:F8:AA,10.10.10.1,255.255.255.0,10.10.10.254,Intel(R) 82574L Gigabit Network Connection,e1iexpress,TRUE,FALSE,2012Data-DC1,contoso.com,FALSE,FALSE,TRUE,127.0.0.1; 10.10.10.254,,
2012DATA-DC1,,,,,Microsoft ISATAP Adapter,tunnel,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,Microsoft Teredo Tunneling Adapter,tunnel,FALSE,FALSE,,,,,,,,
2012DATA-DC1,,,,,Microsoft ISATAP Adapter,tunnel,FALSE,FALSE,,,,,,,,
DELLWIN10,,,,,Microsoft Kernel Debug Network Adapter,kdnic,FALSE,TRUE,,,,,,,,
DELLWIN10,,,,,WAN Miniport (IKEv2),RasAgileVpn,FALSE,FALSE,,,,,,,,
DELLWIN10,,,,,WAN Miniport (L2TP),Rasl2tp,FALSE,FALSE,,,,,,,,
DELLWIN10,,,,,WAN Miniport (PPTP),PptpMiniport,FALSE,FALSE,,,,,,,,
DELLWIN10,,,,,WAN Miniport (PPPOE),RasPppoe,FALSE,FALSE,,,,,,,,
DELLWIN10,46:44:20:52:41:53,,,,WAN Miniport (IP),NdisWan,FALSE,FALSE,,,,,,,,
DELLWIN10,5E:0A:20:52:41:53,,,,WAN Miniport (IPv6),NdisWan,FALSE,FALSE,,,,,,,,
DELLWIN10,6C:A5:20:52:41:53,,,,WAN Miniport (Network Monitor),NdisWan,FALSE,FALSE,,,,,,,,
DELLWIN10,,,,,WAN Miniport (SSTP),RasSstp,FALSE,FALSE,,,,,,,,
DELLWIN10,74:E5:43:7D:76:BA,,,,Broadcom 802.11n Network Adapter,BCM43XX,FALSE,TRUE,,,,,,,,
DELLWIN10,76:E5:43:7D:76:BA,,,,Microsoft Wi-Fi Direct Virtual Adapter,vwifimp,FALSE,TRUE,,,,,,,,
DELLWIN10,76:E5:43:7D:7E:BA,,,,Microsoft Wi-Fi Direct Virtual Adapter,vwifimp,FALSE,TRUE,,,,,,,,
DELLWIN10,00:50:56:C0:00:00,10.10.10.253; fe80::4412:d367:1edc:fa56,255.255.255.0; 64,10.10.10.254,VMware Virtual Ethernet Adapter for VMnet0,VMnetAdapter,TRUE,FALSE,DellWin10,contoso.com,FALSE,FALSE,TRUE,10.10.10.1; 10.10.10.254,,
DELLWIN10,00:FF:C3:50:0A:AE,,,,TAP-NordVPN Windows Adapter V9,tapnordvpn,FALSE,TRUE,,,,,,,,
DELLWIN10,00:50:56:C0:00:01,192.168.12.1; fe80::c53f:640d:e1a6:836b,255.255.255.0; 64,,VMware Virtual Ethernet Adapter for VMnet1,VMnetAdapter,TRUE,TRUE,DellWin10,contoso.com,FALSE,FALSE,TRUE,,,
DELLWIN10,00:50:56:C0:00:08,192.168.254.1; fe80::ddec:125d:143:8370,255.255.255.0; 64,,VMware Virtual Ethernet Adapter for VMnet8,VMnetAdapter,TRUE,TRUE,DellWin10,contoso.com,FALSE,FALSE,TRUE,,192.168.254.2,
DELLWIN10,02:00:4C:4F:4F:50,169.254.137.148,255.255.0.0,,Npcap Loopback Adapter,kmloop,TRUE,TRUE,DellWin10,contoso.com,FALSE,FALSE,TRUE,,,
DELLWIN10,,,,,Apple USB Ethernet Adapter,AppleUSBEthernet,FALSE,TRUE,,,,,,,,
