"PSComputerName","Name","ProcessID","ParentProcessID","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate"
"2012DATA-DC1","z","0","0",,"20480","0","0","1",
"2012DATA-DC1","System Idle Process","0","0",,"20480","0","0","1",
"2012DATA-DC1","System","4","0",,"307200","4","654","227","20181118051654.767867-480"
"2012DATA-DC1","smss.exe","448","4",,"1003520","448","50","3","20181118051654.783289-480"
"2012DATA-DC1","csrss.exe","536","528","C:\Windows\system32\csrss.exe","4046848","536","322","9","20181118051657.419805-480"
"2012DATA-DC1","csrss.exe","604","596","C:\Windows\system32\csrss.exe","11034624","604","141","9","20181118051657.716223-480"
"2012DATA-DC1","wininit.exe","612","528","C:\Windows\system32\wininit.exe","3485696","612","79","2","20181118051657.716223-480"
"2012DATA-DC1","winlogon.exe","640","596","C:\Windows\system32\winlogon.exe","6070272","640","150","3","20181118051657.747313-480"
"2012DATA-DC1","services.exe","704","612","C:\Windows\system32\services.exe","7499776","704","264","7","20181118051657.918985-480"
"2012DATA-DC1","lsass.exe","712","612",,"29691904","712","1259","30","20181118051657.950213-480"
"2012DATA-DC1","svchost.exe","884","704","C:\Windows\system32\svchost.exe","9027584","884","326","6","20181118051701.008197-480"
"2012DATA-DC1","vmacthlp.exe","924","704","C:\Program Files\VMware\VMware Tools\vmacthlp.exe","3891200","924","61","2","20181118051701.132580-480"
"2012DATA-DC1","svchost.exe","948","704","C:\Windows\system32\svchost.exe","6909952","948","333","9","20181118051701.257346-480"
"2012DATA-DC1","svchost.exe","1020","704","C:\Windows\System32\svchost.exe","16093184","1020","410","14","20181118051701.319788-480"
"2012DATA-DC1","dwm.exe","516","640","C:\Windows\system32\dwm.exe","27860992","516","181","7","20181118051701.366566-480"
"2012DATA-DC1","svchost.exe","828","704","C:\Windows\system32\svchost.exe","35536896","828","1453","45","20181118051701.460150-480"
"2012DATA-DC1","svchost.exe","1072","704","C:\Windows\system32\svchost.exe","11698176","1072","694","16","20181118051702.224579-480"
"2012DATA-DC1","svchost.exe","1152","704","C:\Windows\system32\svchost.exe","16560128","1152","524","18","20181118051702.989256-480"
"2012DATA-DC1","svchost.exe","1272","704","C:\Windows\system32\svchost.exe","11304960","1272","352","18","20181118051703.800191-480"
"2012DATA-DC1","spoolsv.exe","1568","704","C:\Windows\System32\spoolsv.exe","18292736","1568","432","12","20181118051727.949807-480"
"2012DATA-DC1","Microsoft.ActiveDirectory.WebServices.exe","1596","704","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","38731776","1596","542","12","20181118051728.230082-480"
"2012DATA-DC1","dfsrs.exe","1632","704","C:\Windows\system32\DFSRs.exe","14917632","1632","250","11","20181118051730.850876-480"
"2012DATA-DC1","dns.exe","1664","704","C:\Windows\system32\dns.exe","50257920","1664","5221","14","20181118051731.006921-480"
"2012DATA-DC1","esensor.exe","1692","704",,"151375872","1692","552","37","20181118051731.381354-480"
"2012DATA-DC1","ismserv.exe","1756","704","C:\Windows\System32\ismserv.exe","4386816","1756","94","7","20181118051731.755800-480"
"2012DATA-DC1","VGAuthService.exe","1804","704","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","10407936","1804","112","3","20181118051732.161271-480"
"2012DATA-DC1","vmtoolsd.exe","1852","704","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","19161088","1852","313","9","20181118051732.722896-480"
"2012DATA-DC1","dfssvc.exe","1896","704","C:\Windows\system32\dfssvc.exe","5926912","1896","124","12","20181118051733.487383-480"
"2012DATA-DC1","WmiPrvSE.exe","1532","884","C:\Windows\system32\wbem\wmiprvse.exe","24502272","1532","249","11","20181118051736.841426-480"
"2012DATA-DC1","vds.exe","2248","704","C:\Windows\System32\vds.exe","8216576","2248","156","12","20181118051743.986213-480"
"2012DATA-DC1","svchost.exe","2284","704","C:\Windows\System32\svchost.exe","8232960","2284","362","16","20181118051744.643680-480"
"2012DATA-DC1","svchost.exe","2380","704","C:\Windows\system32\svchost.exe","4489216","2380","108","4","20181118051746.248413-480"
"2012DATA-DC1","svchost.exe","2400","704","C:\Windows\system32\svchost.exe","9957376","2400","205","9","20181118051746.326526-480"
"2012DATA-DC1","dllhost.exe","2556","704","C:\Windows\system32\dllhost.exe","10518528","2556","191","11","20181118051801.043653-480"
"2012DATA-DC1","WmiPrvSE.exe","2720","884","C:\Windows\system32\wbem\wmiprvse.exe","13389824","2720","211","5","20181118051803.892107-480"
"2012DATA-DC1","msdtc.exe","3864","704","C:\Windows\System32\msdtc.exe","7184384","3864","147","10","20181118051824.843348-480"
"2012DATA-DC1","taskhostex.exe","2636","704","C:\Windows\system32\taskhostex.exe","5947392","2636","146","5","20181118051830.927143-480"
"2012DATA-DC1","explorer.exe","992","3780","C:\Windows\Explorer.EXE","38449152","992","816","28","20181118051840.382670-480"
"2012DATA-DC1","ServerManager.exe","4104","4060","C:\Windows\system32\ServerManager.exe","3616768","4104","437","10","20181118051858.461468-480"
"2012DATA-DC1","shutdown.exe","4368","992","C:\Windows\system32\shutdown.exe","5246976","4368","53","1","20181118051905.544152-480"
"2012DATA-DC1","conhost.exe","4400","4368","C:\Windows\system32\conhost.exe","2969600","4400","32","1","20181118051905.746718-480"
"2012DATA-DC1","vmtoolsd.exe","4696","992","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","17506304","4696","220","7","20181118051917.446901-480"
"2012DATA-DC1","ManagementAgentHost.exe","4792","704","C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe","10588160","4792","119","9","20181118051957.615640-480"
"WIN81-01","System Idle Process","0","0",,"8192","0","0","2",
"WIN81-01","System","4","0",,"1343488","4","702","141","20181118081745.270556-300"
"WIN81-01","smss.exe","268","4",,"786432","268","44","2","20181118081745.286520-300"
