"PSComputerName","Name","LocalAccount","Domain","SID","SIDType","Caption","Description"
"2012DATA-DC1","Administrators","True","2012DATA-DC1","S-1-5-32-544","4","2012DATA-DC1\Administrators","Administrators have complete and unrestricted access to the computer/domain"
"2012DATA-DC1","Users","True","2012DATA-DC1","S-1-5-32-545","4","2012DATA-DC1\Users","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"2012DATA-DC1","Guests","True","2012DATA-DC1","S-1-5-32-546","4","2012DATA-DC1\Guests","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted"
"2012DATA-DC1","Print Operators","True","2012DATA-DC1","S-1-5-32-550","4","2012DATA-DC1\Print Operators","Members can administer domain printers"
"2012DATA-DC1","Backup Operators","True","2012DATA-DC1","S-1-5-32-551","4","2012DATA-DC1\Backup Operators","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files"
"2012DATA-DC1","Replicator","True","2012DATA-DC1","S-1-5-32-552","4","2012DATA-DC1\Replicator","Supports file replication in a domain"
"2012DATA-DC1","Remote Desktop Users","True","2012DATA-DC1","S-1-5-32-555","4","2012DATA-DC1\Remote Desktop Users","Members in this group are granted the right to logon remotely"
"2012DATA-DC1","Network Configuration Operators","True","2012DATA-DC1","S-1-5-32-556","4","2012DATA-DC1\Network Configuration Operators","Members in this group can have some administrative privileges to manage configuration of networking features"
"2012DATA-DC1","Performance Monitor Users","True","2012DATA-DC1","S-1-5-32-558","4","2012DATA-DC1\Performance Monitor Users","Members of this group can access performance counter data locally and remotely"
"2012DATA-DC1","Performance Log Users","True","2012DATA-DC1","S-1-5-32-559","4","2012DATA-DC1\Performance Log Users","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer"
"2012DATA-DC1","Distributed COM Users","True","2012DATA-DC1","S-1-5-32-562","4","2012DATA-DC1\Distributed COM Users","Members are allowed to launch, activate and use Distributed COM objects on this machine."
"2012DATA-DC1","IIS_IUSRS","True","2012DATA-DC1","S-1-5-32-568","4","2012DATA-DC1\IIS_IUSRS","Built-in group used by Internet Information Services."
"2012DATA-DC1","Cryptographic Operators","True","2012DATA-DC1","S-1-5-32-569","4","2012DATA-DC1\Cryptographic Operators","Members are authorized to perform cryptographic operations."
"2012DATA-DC1","Event Log Readers","True","2012DATA-DC1","S-1-5-32-573","4","2012DATA-DC1\Event Log Readers","Members of this group can read event logs from local machine"
"2012DATA-DC1","Certificate Service DCOM Access","True","2012DATA-DC1","S-1-5-32-574","4","2012DATA-DC1\Certificate Service DCOM Access","Members of this group are allowed to connect to Certification Authorities in the enterprise"
"2012DATA-DC1","RDS Remote Access Servers","True","2012DATA-DC1","S-1-5-32-575","4","2012DATA-DC1\RDS Remote Access Servers","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group."
"2012DATA-DC1","RDS Endpoint Servers","True","2012DATA-DC1","S-1-5-32-576","4","2012DATA-DC1\RDS Endpoint Servers","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group."
"2012DATA-DC1","RDS Management Servers","True","2012DATA-DC1","S-1-5-32-577","4","2012DATA-DC1\RDS Management Servers","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group."
"2012DATA-DC1","Hyper-V Administrators","True","2012DATA-DC1","S-1-5-32-578","4","2012DATA-DC1\Hyper-V Administrators","Members of this group have complete and unrestricted access to all features of Hyper-V."
"2012DATA-DC1","Access Control Assistance Operators","True","2012DATA-DC1","S-1-5-32-579","4","2012DATA-DC1\Access Control Assistance Operators","Members of this group can remotely query authorization attributes and permissions for resources on this computer."
"2012DATA-DC1","Remote Management Users","True","2012DATA-DC1","S-1-5-32-580","4","2012DATA-DC1\Remote Management Users","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user."
"2012DATA-DC1","Server Operators","True","2012DATA-DC1","S-1-5-32-549","4","2012DATA-DC1\Server Operators","Members can administer domain servers"
"2012DATA-DC1","Account Operators","True","2012DATA-DC1","S-1-5-32-548","4","2012DATA-DC1\Account Operators","Members can administer domain user and group accounts"
"2012DATA-DC1","Pre-Windows 2000 Compatible Access","True","2012DATA-DC1","S-1-5-32-554","4","2012DATA-DC1\Pre-Windows 2000 Compatible Access","A backward compatibility group which allows read access on all users and groups in the domain"
"2012DATA-DC1","Incoming Forest Trust Builders","True","2012DATA-DC1","S-1-5-32-557","4","2012DATA-DC1\Incoming Forest Trust Builders","Members of this group can create incoming, one-way trusts to this forest"
"2012DATA-DC1","Windows Authorization Access Group","True","2012DATA-DC1","S-1-5-32-560","4","2012DATA-DC1\Windows Authorization Access Group","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects"
"2012DATA-DC1","Terminal Server License Servers","True","2012DATA-DC1","S-1-5-32-561","4","2012DATA-DC1\Terminal Server License Servers","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"2012DATA-DC1","Cert Publishers","True","2012DATA-DC1","S-1-5-21-51592989-3190792883-3672066161-517","4","2012DATA-DC1\Cert Publishers","Members of this group are permitted to publish certificates to the directory"
"2012DATA-DC1","RAS and IAS Servers","True","2012DATA-DC1","S-1-5-21-51592989-3190792883-3672066161-553","4","2012DATA-DC1\RAS and IAS Servers","Servers in this group can access remote access properties of users"
"2012DATA-DC1","Allowed RODC Password Replication Group","True","2012DATA-DC1","S-1-5-21-51592989-3190792883-3672066161-571","4","2012DATA-DC1\Allowed RODC Password Replication Group","Members in this group can have their passwords replicated to all read-only domain controllers in the domain"
"2012DATA-DC1","Denied RODC Password Replication Group","True","2012DATA-DC1","S-1-5-21-51592989-3190792883-3672066161-572","4","2012DATA-DC1\Denied RODC Password Replication Group","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain"
"2012DATA-DC1","WinRMRemoteWMIUsers__","True","2012DATA-DC1","S-1-5-21-51592989-3190792883-3672066161-1000","4","2012DATA-DC1\WinRMRemoteWMIUsers__","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user."
"2012DATA-DC1","DnsAdmins","True","2012DATA-DC1","S-1-5-21-51592989-3190792883-3672066161-1103","4","2012DATA-DC1\DnsAdmins","DNS Administrators Group"
