"PSComputerName","MACAddress","IPAddress","IpSubnet","DefaultIPGateway","Description","ServiceName","IPEnabled","DHCPEnabled","DNSHostname","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DomainDNSRegistrationEnabled","FullDNSRegistrationEnabled","DNSServerSearchOrder","WinsPrimaryServer","WINSSecondaryServer"
"2012DATA-DC1",,"","","","WAN Miniport (L2TP)","Rasl2tp","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (SSTP)","RasSstp","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (IKEv2)","RasAgileVpn","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (PPTP)","PptpMiniport","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (PPPOE)","RasPppoe","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (IP)","NdisWan","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (IPv6)","NdisWan","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (Network Monitor)","NdisWan","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","Microsoft Kernel Debug Network Adapter","kdnic","False","True",,"",,,,"","",""
"2012DATA-DC1",,"","","","RAS Async Adapter","AsyncMac","False","False",,"",,,,"","",""
"2012DATA-DC1","00:0C:29:E6:F8:AA","10.10.10.1","255.255.255.0","10.10.10.254","Intel(R) 82574L Gigabit Network Connection","e1iexpress","True","False","2012Data-DC1","contoso.com","False","False","True","127.0.0.1; 10.10.10.254","",""
"2012DATA-DC1",,"","","","Microsoft ISATAP Adapter","tunnel","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","Microsoft Teredo Tunneling Adapter","tunnel","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","Microsoft ISATAP Adapter","tunnel","False","False",,"",,,,"","",""
