"PSComputerName","InstallDate","Status","Description","Service","DeviceID","HardwareID","Manufacturer"
"2012DATA-DC1",,"OK","Standard SATA AHCI Controller","storahci","PCI\VEN_15AD&DEV_07E0&SUBSYS_07E015AD&REV_00\4&B70F118&0&2088","PCI\VEN_15AD&DEV_07E0&SUBSYS_07E015AD&REV_00; PCI\VEN_15AD&DEV_07E0&SUBSYS_07E015AD; PCI\VEN_15AD&DEV_07E0&CC_010601; PCI\VEN_15AD&DEV_07E0&CC_0106","Standard SATA AHCI Controller"
"2012DATA-DC1",,"","Motherboard resources",,"ACPI\PNP0C02\4","ACPI\VEN_PNP&DEV_0C02; ACPI\PNP0C02; *PNP0C02","(Standard system devices)"
"2012DATA-DC1",,"OK","Microsoft AC Adapter","CmBatt","ACPI\ACPI0003\1","ACPI\VEN_ACPI&DEV_0003; ACPI\ACPI0003; *ACPI0003","Microsoft"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\10","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\11","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\12","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\13","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\14","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\15","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\16","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\17","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\20","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\21","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\22","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\23","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\24","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\25","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\26","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\27","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\28","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\29","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\2A","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\2B","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\2C","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\2D","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\2E","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\2F","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\30","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\31","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\32","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\33","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\34","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\35","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\36","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\37","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\38","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\39","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\3A","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\3B","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\3C","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\3D","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\3E","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\3F","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\40","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\41","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\42","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\43","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\44","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\45","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\46","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\47","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
"2012DATA-DC1",,"OK","Generic Bus",,"ACPI\PNP0A05\48","ACPI\VEN_PNP&DEV_0A05; ACPI\PNP0A05; *PNP0A05","(Standard system devices)"
