"PSComputerName","InstallDate","Status","Description","Service","DeviceID","HardwareID","Manufacturer"
"DELLWIN10",,"OK","High precision event timer",,"ACPI\PNP0103\4&18351974&0","ACPI\VEN_PNP&DEV_0103; ACPI\PNP0103; *PNP0103","(Standard system devices)"
"DELLWIN10",,"OK","System board",,"ACPI\PNP0C01\2","ACPI\VEN_PNP&DEV_0C01; ACPI\PNP0C01; *PNP0C01","(Standard system devices)"
"DELLWIN10",,"OK","Motherboard resources",,"ACPI\PNP0C02\1","ACPI\VEN_PNP&DEV_0C02; ACPI\PNP0C02; *PNP0C02","(Standard system devices)"
"DELLWIN10",,"OK","Motherboard resources",,"ACPI\PNP0C02\2","ACPI\VEN_PNP&DEV_0C02; ACPI\PNP0C02; *PNP0C02","(Standard system devices)"
"DELLWIN10",,"OK","Microsoft Usbccid Smartcard Reader (WUDF)","WUDFRd","USB\VID_0A5C&PID_5800&MI_01\7&66DE6C9&0&0001","USB\VID_0A5C&PID_5800&REV_0101&MI_01; USB\VID_0A5C&PID_5800&MI_01","Microsoft"
"DELLWIN10",,"OK","Microsoft ACPI-Compliant Embedded Controller",,"ACPI\PNP0C09\0","ACPI\VEN_PNP&DEV_0C09; ACPI\PNP0C09; *PNP0C09","(Standard system devices)"
"DELLWIN10",,"OK","Generic software device",,"SWD\RADIO\{2183609F-68F2-4407-A997-6000EEE61339}","","Microsoft"
"DELLWIN10",,"OK","Disk drive","disk","SCSI\DISK&VEN_SAMSUNG&PROD_SSD_860_EVO_1TB\4&2DD0D184&0&000000","SCSI\DiskSamsung__SSD_860_EVO_1TBRVT0; SCSI\DiskSamsung__SSD_860_EVO_1TB; SCSI\DiskSamsung_; SCSI\Samsung__SSD_860_EVO_1TBR; Samsung__SSD_860_EVO_1TBR; GenDisk","(Standard disk drives)"
"DELLWIN10",,"OK","ECP Printer Port","Parport","ACPI\PNP0401\5","ACPI\VEN_PNP&DEV_0401; ACPI\PNP0401; *PNP0401","(Standard port types)"
"DELLWIN10",,"Error","Broadcom USH",,"USB\VID_0A5C&PID_5800&MI_00\7&66DE6C9&0&0000","USB\VID_0A5C&PID_5800&REV_0101&MI_00; USB\VID_0A5C&PID_5800&MI_00",
"DELLWIN10",,"OK","Microsoft ACPI-Compliant Control Method Battery","CmBatt","ACPI\PNP0C0A\1","ACPI\VEN_PNP&DEV_0C0A; ACPI\PNP0C0A; *PNP0C0A","Microsoft"
"DELLWIN10",,"OK","Microsoft ACPI-Compliant Control Method Battery","CmBatt","ACPI\PNP0C0A\2","ACPI\VEN_PNP&DEV_0C0A; ACPI\PNP0C0A; *PNP0C0A","Microsoft"
"DELLWIN10",,"OK","Microsoft ACPI-Compliant Control Method Battery","CmBatt","ACPI\PNP0C0A\3","ACPI\VEN_PNP&DEV_0C0A; ACPI\PNP0C0A; *PNP0C0A","Microsoft"
"DELLWIN10",,"OK","USB Video Device","usbvideo","USB\VID_1BCF&PID_2802&MI_00\7&92B74C4&0&0000","USB\VID_1BCF&PID_2802&REV_1<09&MI_00; USB\VID_1BCF&PID_2802&MI_00","Microsoft"
"DELLWIN10",,"OK","My Passport 25E2","WUDFWpdFs","SWD\WPDBUSENUM\{4B81277B-C842-11E8-9042-EFBA3DE5937B}#0000000000100000","","WD      "
"DELLWIN10",,"OK","Local Print Queue",,"SWD\PRINTENUM\PRINTQUEUES","PRINTENUM\LocalPrintQueue","Microsoft"
"DELLWIN10",,"OK","System CMOS/real time clock",,"ACPI\PNP0B00\4&18351974&0","ACPI\VEN_PNP&DEV_0B00; ACPI\PNP0B00; *PNP0B00","(Standard system devices)"
"DELLWIN10",,"Error","Mass Storage Controller",,"PCI\VEN_1217&DEV_8331&SUBSYS_04941028&REV_05\4&3CB8275&0&02E5","PCI\VEN_1217&DEV_8331&SUBSYS_04941028&REV_05; PCI\VEN_1217&DEV_8331&SUBSYS_04941028; PCI\VEN_1217&DEV_8331&CC_018000; PCI\VEN_1217&DEV_8331&CC_0180",
"DELLWIN10",,"OK","Volume Manager","volmgr","ROOT\VOLMGR\0000","ROOT\VOLMGR","Microsoft"
"DELLWIN10",,"OK","Smart card filter driver",,"{892EDE5E-BE49-443C-A0B3-005D74F2D69C}\SCFILTER\8&38DE34D8&0&01","{892EDE5E-BE49-443c-A0B3-005D74F2D69C}\ScFilter","Microsoft"
"DELLWIN10",,"OK","High Definition Audio Device","HdAudAddService","HDAUDIO\FUNC_01&VEN_8086&DEV_2805&SUBSYS_80860101&REV_1000\4&1878FD86&0&0301","HDAUDIO\FUNC_01&VEN_8086&DEV_2805&SUBSYS_80860101&REV_1000; HDAUDIO\FUNC_01&VEN_8086&DEV_2805&SUBSYS_80860101","Microsoft"
"DELLWIN10",,"OK","Audio Endpoint",,"SWD\MMDEVAPI\{0.0.1.00000000}.{B40B4E99-E305-4487-95DF-2BC043D1E83C}","MMDEVAPI\AudioEndpoints","Microsoft"
"DELLWIN10",,"OK","Programmable interrupt controller",,"ACPI\PNP0000\4&18351974&0","ACPI\VEN_PNP&DEV_0000; ACPI\PNP0000; *PNP0000","(Standard system devices)"
"DELLWIN10",,"OK","Standard PS/2 Keyboard","i8042prt","ACPI\PNP0303\4&18351974&0","ACPI\VEN_PNP&DEV_0303; ACPI\PNP0303; *PNP0303","(Standard keyboards)"
"DELLWIN10",,"OK","WAN Miniport (PPPOE)","RasPppoe","SWD\MSRRAS\MS_PPPOEMINIPORT","ms_pppoeminiport","Microsoft"
"DELLWIN10",,"OK","PCI-to-PCI Bridge","pci","PCI\VEN_8086&DEV_1C12&SUBSYS_04941028&REV_B4\3&11583659&0&E1","PCI\VEN_8086&DEV_1C12&SUBSYS_04941028&REV_B4; PCI\VEN_8086&DEV_1C12&SUBSYS_04941028; PCI\VEN_8086&DEV_1C12&CC_060400; PCI\VEN_8086&DEV_1C12&CC_0604","(Standard system devices)"
"DELLWIN10",,"OK","Microsoft Basic Display Driver","BasicDisplay","ROOT\BASICDISPLAY\0000","ROOT\BasicDisplay","(Standard display types)"
"DELLWIN10",,"OK","ACPI Thermal Zone",,"ACPI\THERMALZONE\THM_","ACPI\ThermalZone; *ThermalZone","(Standard system devices)"
"DELLWIN10",,"OK","ACPI Sleep Button",,"ACPI\PNP0C0E\2&DABA3FF&0","ACPI\VEN_PNP&DEV_0C0E; ACPI\PNP0C0E; *PNP0C0E","(Standard system devices)"
"DELLWIN10",,"OK","Audio Endpoint",,"SWD\MMDEVAPI\{0.0.0.00000000}.{60BCDE53-E420-46EE-A4E3-A3E2942C576A}","MMDEVAPI\AudioEndpoints","Microsoft"
"DELLWIN10",,"OK","USB Root Hub","usbhub","USB\ROOT_HUB20\4&A2C2D92&0","USB\ROOT_HUB20&VID8086&PID1C26&REV0004; USB\ROOT_HUB20&VID8086&PID1C26; USB\ROOT_HUB20","(Standard USB Host Controller)"
"DELLWIN10",,"OK","TAP-NordVPN Windows Adapter V9","tapnordvpn","ROOT\NET\0000","tapnordvpn","TAP-NordVPN Windows Provider V9"
"DELLWIN10",,"OK","Microsoft KM-TEST Loopback Adapter","kmloop","ROOT\NET\0001","*msloop","Microsoft"
"DELLWIN10",,"OK","Generic software device",,"SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}","","Microsoft"
"DELLWIN10",,"OK","Microsoft Windows Management Interface for ACPI","WmiAcpi","ACPI\PNP0C14\0","ACPI\VEN_pnp&DEV_0c14; ACPI\pnp0c14; *pnp0c14","Microsoft"
"DELLWIN10",,"OK","VMware Virtual Ethernet Adapter for VMnet1","VMnetAdapter","ROOT\VMWARE\0000","*VMnetAdapter1","VMware, Inc."
"DELLWIN10",,"OK","VMware Virtual Ethernet Adapter for VMnet8","VMnetAdapter","ROOT\VMWARE\0001","*VMnetAdapter8","VMware, Inc."
"DELLWIN10",,"OK","VMware Virtual Ethernet Adapter for VMnet0","VMnetAdapter","ROOT\VMWARE\0002","*VMnetAdapter0","VMware, Inc."
"DELLWIN10",,"OK","USB Composite Device","usbccgp","USB\VID_0A5C&PID_5800\0123456789ABCD","USB\VID_0A5C&PID_5800&REV_0101; USB\VID_0A5C&PID_5800","(Standard USB Host Controller)"
"DELLWIN10",,"OK","WAN Miniport (PPTP)","PptpMiniport","SWD\MSRRAS\MS_PPTPMINIPORT","ms_pptpminiport","Microsoft"
"DELLWIN10",,"OK","Volume","volume","STORAGE\VOLUME\{4B81277B-C842-11E8-9042-EFBA3DE5937B}#0000000000100000","STORAGE\Volume","Microsoft"
"DELLWIN10",,"OK","Direct memory access controller",,"ACPI\PNP0200\4&18351974&0","ACPI\VEN_PNP&DEV_0200; ACPI\PNP0200; *PNP0200","(Standard system devices)"
"DELLWIN10",,"OK","USB Root Hub","usbhub","USB\ROOT_HUB20\4&F38AAD8&0","USB\ROOT_HUB20&VID8086&PID1C2D&REV0004; USB\ROOT_HUB20&VID8086&PID1C2D; USB\ROOT_HUB20","(Standard USB Host Controller)"
"DELLWIN10",,"OK","Intel(R) 6 Series/C200 Series Chipset Family USB Enhanced Host Controller - 1C2D","usbehci","PCI\VEN_8086&DEV_1C2D&SUBSYS_04941028&REV_04\3&11583659&0&D0","PCI\VEN_8086&DEV_1C2D&SUBSYS_04941028&REV_04; PCI\VEN_8086&DEV_1C2D&SUBSYS_04941028; PCI\VEN_8086&DEV_1C2D&CC_0C0320; PCI\VEN_8086&DEV_1C2D&CC_0C03","Intel"
"DELLWIN10",,"OK","WAN Miniport (IKEv2)","RasAgileVpn","SWD\MSRRAS\MS_AGILEVPNMINIPORT","ms_agilevpnminiport","Microsoft"
"DELLWIN10",,"OK","Composite Bus Enumerator","CompositeBus","ROOT\COMPOSITEBUS\0000","ROOT\CompositeBus","Microsoft"
"DELLWIN10",,"OK","Microsoft Virtual Drive Enumerator","vdrvroot","ROOT\VDRVROOT\0000","ROOT\vdrvroot","Microsoft"
"DELLWIN10",,"OK","Microsoft AC Adapter","CmBatt","ACPI\ACPI0003\2&DABA3FF&0","ACPI\VEN_ACPI&DEV_0003; ACPI\ACPI0003; *ACPI0003","Microsoft"
"DELLWIN10",,"OK","Microsoft Storage Spaces Controller","spaceport","ROOT\SPACEPORT\0000","Root\Spaceport","Microsoft"
"DELLWIN10",,"OK","Local Print Queue",,"SWD\PRINTENUM\{7636F394-2AB7-4D95-83D5-A3C7A6EE723D}","PRINTENUM\{0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}; PRINTENUM\LocalPrintQueue; {0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}","Microsoft"
"DELLWIN10",,"OK","Microsoft Kernel Debug Network Adapter","kdnic","ROOT\KDNIC\0000","root\kdnic","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT1","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT2","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT3","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT4","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT5","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT6","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT7","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT8","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","Generic volume shadow copy",,"STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT9","STORAGE\VolumeSnapshot","Microsoft"
"DELLWIN10",,"OK","LPC Controller","msisadrv","PCI\VEN_8086&DEV_1C4F&SUBSYS_04941028&REV_04\3&11583659&0&F8","PCI\VEN_8086&DEV_1C4F&SUBSYS_04941028&REV_04; PCI\VEN_8086&DEV_1C4F&SUBSYS_04941028; PCI\VEN_8086&DEV_1C4F&CC_060100; PCI\VEN_8086&DEV_1C4F&CC_0601","Intel"
"DELLWIN10",,"OK","ACPI Lid",,"ACPI\PNP0C0D\2&DABA3FF&0","ACPI\VEN_PNP&DEV_0C0D; ACPI\PNP0C0D; *PNP0C0D","(Standard system devices)"
