"PSComputerName","Name","Vendor","Version","InstallDate","InstallDate2","InstallLocation","InstallSource","PackageName","PackageCache","RegOwner","HelpLink","HelpTelephone","URLInfoAbout","URLUpdateInfo","Language","Description","IdentifyingNumber"
"DELLWIN10","InstallRoot","DoD PKE","5.2","20181123",,"C:\Users\Dan\AppData\Roaming\DoD-PKE\InstallRoot\","C:\Users\Dan\Downloads\","InstallRoot_5.2x32_NonAdmin.msi","C:\Windows\Installer\1b8c8273.msi",,"http://iase.disa.mil/pki-pke/",,"http://iase.disa.mil/pki-pke/",,"1033","InstallRoot","{85E13A9E-DA29-4A41-B876-B6C68D397472}"
"DELLWIN10","Microsoft Office Enterprise 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0030-0000-0000-0000000FF1CE}-C\","EnterpriseWW.msi","C:\Windows\Installer\579c96.msi","Daniel",,,,,"0","Microsoft Office Enterprise 2007","{90120000-0030-0000-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office OneNote MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-00A1-0409-0000-0000000FF1CE}-C\","OneNoteMUI.msi","C:\Windows\Installer\579c89.msi",,,,,,"1033","Microsoft Office OneNote MUI (English) 2007","{90120000-00A1-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Groove Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0114-0409-0000-0000000FF1CE}-C\","GrooveMUISet.msi","C:\Windows\Installer\579c4b.msi",,,,,,"1033","Microsoft Office Groove Setup Metadata MUI (English) 2007","{90120000-0114-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office InfoPath MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0044-0409-0000-0000000FF1CE}-C\","InfoPathMUI.msi","C:\Windows\Installer\579c50.msi",,,,,,"1033","Microsoft Office InfoPath MUI (English) 2007","{90120000-0044-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Access MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0117-0409-0000-0000000FF1CE}-C\Access.en-us\","AccessMUI.msi","C:\Windows\Installer\579c7f.msi",,,,,,"1033","Microsoft Office Access MUI (English) 2007","{90120000-0015-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Shared Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0115-0409-0000-0000000FF1CE}-C\","OfficeMUISet.msi","C:\Windows\Installer\579c32.msi",,,,,,"1033","Microsoft Office Shared Setup Metadata MUI (English) 2007","{90120000-0115-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Excel MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0016-0409-0000-0000000FF1CE}-C\","ExcelMUI.msi","C:\Windows\Installer\579c37.msi",,,,,,"1033","Microsoft Office Excel MUI (English) 2007","{90120000-0016-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0116-0409-1000-0000000FF1CE}-C\","Office64MUISet.msi","C:\Windows\Installer\579c5a.msi",,,,,,"1033","Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007","{90120000-0116-0409-1000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Access Setup Metadata MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0117-0409-0000-0000000FF1CE}-C\","AccessMUISet.msi","C:\Windows\Installer\579c84.msi",,,,,,"1033","Microsoft Office Access Setup Metadata MUI (English) 2007","{90120000-0117-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office PowerPoint MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0018-0409-0000-0000000FF1CE}-C\","PowerPointMUI.msi","C:\Windows\Installer\579c41.msi",,,,,,"1033","Microsoft Office PowerPoint MUI (English) 2007","{90120000-0018-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Publisher MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0019-0409-0000-0000000FF1CE}-C\","PublisherMUI.msi","C:\Windows\Installer\579c75.msi",,,,,,"1033","Microsoft Office Publisher MUI (English) 2007","{90120000-0019-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Outlook MUI (English) 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-001A-0409-0000-0000000FF1CE}-C\","OutlookMUI.msi","C:\Windows\Installer\579c3c.msi",,,,,,"1033","Microsoft Office Outlook MUI (English) 2007","{90120000-001A-0409-0000-0000000FF1CE}"
"DELLWIN10","Microsoft Office Office 64-bit Components 2007","Microsoft Corporation","12.0.4518.1014","20181004",,"C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90120000-0030-0000-0000-0000000FF1CE}-C\","Office64WW.msi","C:\Windows\Installer\579c8f.msi",,,,,,"0","Microsoft Office Office 64-bit Components 2007","{90120000-002A-0000-1000-0000000FF1CE}"
