"PSComputerName","Name","Manufacturer","Status","Service","DeviceID","HardwareID"
"2012DATA-DC1","USB Root Hub","(Standard USB Host Controller)","OK","usbhub","USB\ROOT_HUB\5&17DF1C1B&0","USB\ROOT_HUB&VID15AD&PID0774&REV0000 USB\ROOT_HUB&VID15AD&PID0774 USB\ROOT_HUB"
"2012DATA-DC1","USB Root Hub","(Standard USB Host Controller)","OK","usbhub","USB\ROOT_HUB20\5&25F23B66&0","USB\ROOT_HUB20&VID15AD&PID0770&REV0000 USB\ROOT_HUB20&VID15AD&PID0770 USB\ROOT_HUB20"
"2012DATA-DC1","USB Root Hub (xHCI)","(Standard USB HUBs)","OK","USBHUB3","USB\ROOT_HUB30\5&CF77B60&0&0","USB\ROOT_HUB30&VID15AD&PID0778&REV0000 USB\ROOT_HUB30&VID15AD&PID0778 USB\ROOT_HUB30"
"2012DATA-DC1","Generic USB Hub","(Standard USB HUBs)","OK","USBHUB3","USB\VID_0E0F&PID_0002\6&16AB4107&0&4","USB\VID_0E0F&PID_0002&REV_0100"
"2012DATA-DC1","Generic USB Hub","(Standard USB HUBs)","OK","USBHUB3","USB\VID_0E0F&PID_0002\6&16AB4107&0&2","USB\VID_0E0F&PID_0002&REV_0100"
"2012DATA-DC1","USB Composite Device","(Standard USB Host Controller)","OK","usbccgp","USB\VID_0E0F&PID_0003\7&CCE19FE&0&1","USB\VID_0E0F&PID_0003&REV_0102 USB\VID_0E0F&PID_0003"
"2012DATA-DC1","USB Input Device","(Standard system devices)","OK","HidUsb","USB\VID_0E0F&PID_0003&MI_00\8&37940623&0&0000","USB\VID_0E0F&PID_0003&REV_0102&MI_00 USB\VID_0E0F&PID_0003&MI_00"
"2012DATA-DC1","VMware USB Pointing Device","VMware, Inc.","OK","mouhid","HID\VID_0E0F&PID_0003&MI_00\9&2A3BF90E&0&0000","HID\VID_0E0F&PID_0003&REV_0102&MI_00 HID\VID_0E0F&PID_0003&MI_00 HID_DEVICE_SYSTEM_MOUSE HID_DEVICE_UP:0001_U:0002 HID_DEVICE"
"2012DATA-DC1","USB Input Device","(Standard system devices)","OK","HidUsb","USB\VID_0E0F&PID_0003&MI_01\8&37940623&0&0001","USB\VID_0E0F&PID_0003&REV_0102&MI_01 USB\VID_0E0F&PID_0003&MI_01"
"2012DATA-DC1","HID-compliant mouse","Microsoft","OK","mouhid","HID\VID_0E0F&PID_0003&MI_01\9&664BB4C&0&0000","HID\VID_0E0F&PID_0003&REV_0102&MI_01 HID\VID_0E0F&PID_0003&MI_01 HID_DEVICE_SYSTEM_MOUSE HID_DEVICE_UP:0001_U:0002 HID_DEVICE"
