"PSComputerName","Name","LastLogon","LastLogoff","NumberOfLogons","PasswordAge"
"2012DATA-DC1","NT AUTHORITY\SYSTEM",,,,
"2012DATA-DC1","NT AUTHORITY\LOCAL SERVICE",,,,
"2012DATA-DC1","NT AUTHORITY\NETWORK SERVICE",,,,
"2012DATA-DC1","CONTOSO\komnick","20180408124344.000000-420","**************.******+***","17","00000244010808.000000:000"
"2012DATA-DC1","CONTOSO\Administrator","20181207144932.000000-480","**************.******+***","884","00000184183955.000000:000"
"DELLWIN10","NT AUTHORITY\SYSTEM",,,,
"DELLWIN10","NT AUTHORITY\LOCAL SERVICE",,,,
"DELLWIN10","NT AUTHORITY\NETWORK SERVICE",,,,
"DELLWIN10","DELLWIN10\Dan","20181208113518.000000-480","**************.******+***","213","00000064191744.000000:000"
"DELLWIN10","DELLWIN10\Daniel","20181004175934.000000-480","**************.******+***","5","00000064185955.000000:000"
