"PSComputerName","MACAddress","IPAddress","IpSubnet","DefaultIPGateway","Description","ServiceName","IPEnabled","DHCPEnabled","DNSHostname","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DomainDNSRegistrationEnabled","FullDNSRegistrationEnabled","DNSServerSearchOrder","WinsPrimaryServer","WINSSecondaryServer"
"2012DATA-DC1",,"","","","WAN Miniport (L2TP)","Rasl2tp","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (SSTP)","RasSstp","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (IKEv2)","RasAgileVpn","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (PPTP)","PptpMiniport","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (PPPOE)","RasPppoe","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (IP)","NdisWan","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (IPv6)","NdisWan","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","WAN Miniport (Network Monitor)","NdisWan","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","Microsoft Kernel Debug Network Adapter","kdnic","False","True",,"",,,,"","",""
"2012DATA-DC1",,"","","","RAS Async Adapter","AsyncMac","False","False",,"",,,,"","",""
"2012DATA-DC1","00:0C:29:E6:F8:AA","10.10.10.1","255.255.255.0","10.10.10.254","Intel(R) 82574L Gigabit Network Connection","e1iexpress","True","False","2012Data-DC1","contoso.com","False","False","True","127.0.0.1; 10.10.10.254","",""
"2012DATA-DC1",,"","","","Microsoft ISATAP Adapter","tunnel","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","Microsoft Teredo Tunneling Adapter","tunnel","False","False",,"",,,,"","",""
"2012DATA-DC1",,"","","","Microsoft ISATAP Adapter","tunnel","False","False",,"",,,,"","",""
"DELLWIN10",,"","","","Microsoft Kernel Debug Network Adapter","kdnic","False","True",,"",,,,"","",""
"DELLWIN10",,"","","","WAN Miniport (IKEv2)","RasAgileVpn","False","False",,"",,,,"","",""
"DELLWIN10",,"","","","WAN Miniport (L2TP)","Rasl2tp","False","False",,"",,,,"","",""
"DELLWIN10",,"","","","WAN Miniport (PPTP)","PptpMiniport","False","False",,"",,,,"","",""
"DELLWIN10",,"","","","WAN Miniport (PPPOE)","RasPppoe","False","False",,"",,,,"","",""
"DELLWIN10","FA:87:20:52:41:53","","","","WAN Miniport (IP)","NdisWan","False","False",,"",,,,"","",""
"DELLWIN10","FC:E3:20:52:41:53","","","","WAN Miniport (IPv6)","NdisWan","False","False",,"",,,,"","",""
"DELLWIN10","00:EA:20:52:41:53","","","","WAN Miniport (Network Monitor)","NdisWan","False","False",,"",,,,"","",""
"DELLWIN10",,"","","","WAN Miniport (SSTP)","RasSstp","False","False",,"",,,,"","",""
"DELLWIN10","74:E5:43:7D:76:BA","172.20.2.7","255.255.252.0","172.20.0.1","Broadcom 802.11n Network Adapter","BCM43XX","True","True","DellWin10","contoso.com","False","False","True","4.2.2.1; 8.8.8.8","",""
"DELLWIN10","76:E5:43:7D:76:BA","","","","Microsoft Wi-Fi Direct Virtual Adapter","vwifimp","False","True",,"",,,,"","",""
"DELLWIN10","76:E5:43:7D:7E:BA","","","","Microsoft Wi-Fi Direct Virtual Adapter","vwifimp","False","True",,"",,,,"","",""
"DELLWIN10","00:50:56:C0:00:00","10.10.10.253","255.255.255.0","10.10.10.254","VMware Virtual Ethernet Adapter for VMnet0","VMnetAdapter","True","False","DellWin10","contoso.com","False","False","True","10.10.10.1; 10.10.10.254","",""
"DELLWIN10","00:FF:C3:50:0A:AE","10.8.8.62","255.255.255.0","","TAP-NordVPN Windows Adapter V9","tapnordvpn","True","True","DellWin10","contoso.com","False","False","True","103.86.96.100; 103.86.99.100","",""
"DELLWIN10","00:50:56:C0:00:01","192.168.12.1","255.255.255.0","","VMware Virtual Ethernet Adapter for VMnet1","VMnetAdapter","True","True","DellWin10","contoso.com","False","False","True","","",""
"DELLWIN10","00:50:56:C0:00:08","192.168.254.1","255.255.255.0","","VMware Virtual Ethernet Adapter for VMnet8","VMnetAdapter","True","True","DellWin10","contoso.com","False","False","True","","192.168.254.2",""
"DELLWIN10","02:00:4C:4F:4F:50","169.254.137.148","255.255.0.0","","Npcap Loopback Adapter","kmloop","True","True","DellWin10","contoso.com","False","False","True","","",""
"DELLWIN10",,"","","","Apple USB Ethernet Adapter","AppleUSBEthernet","False","True",,"",,,,"","",""
