"PSComputerName","Name","ScreenSaverActive","ScreenSaverTimeout","ScreenSaverExecutable","Wallpaper"
"2012DATA-DC1","NT AUTHORITY\SYSTEM","False",,,
"2012DATA-DC1","NT AUTHORITY\LOCAL SERVICE","False",,,
"2012DATA-DC1","NT AUTHORITY\NETWORK SERVICE","False",,,
"2012DATA-DC1","CONTOSO\komnick","False",,,"C:\Windows\web\wallpaper\Windows\img0.jpg"
"2012DATA-DC1","CONTOSO\Administrator","False",,,"C:\Windows\web\wallpaper\Windows\img0.jpg"
"2012DATA-DC1",".DEFAULT","False",,,
"DELLWIN10","NT AUTHORITY\SYSTEM","False",,,
"DELLWIN10","NT AUTHORITY\LOCAL SERVICE","False",,,"C:\Windows\Web\Wallpaper\Windows\img0.jpg"
"DELLWIN10","NT AUTHORITY\NETWORK SERVICE","False",,,"C:\Windows\Web\Wallpaper\Windows\img0.jpg"
"DELLWIN10","DELLWIN10\Dan","False",,,"C:\Windows\web\wallpaper\Windows\img0.jpg"
"DELLWIN10","DELLWIN10\Daniel","False",,,"C:\Windows\web\wallpaper\Windows\img0.jpg"
"DELLWIN10",".DEFAULT","False",,,
