"PSComputerName","Name","Location","Command","User"
"2012DATA-DC1","OpenOffice.org 3.4.1","Startup","OpenOffice.org 3.4.1.lnk","CONTOSO\Administrator"
"2012DATA-DC1","VMware User Process","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr","Public"
"DELLWIN10","OneDriveSetup","HKU\S-1-5-19\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup","NT AUTHORITY\LOCAL SERVICE"
"DELLWIN10","OneDriveSetup","HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup","NT AUTHORITY\NETWORK SERVICE"
"DELLWIN10","OneDrive","HKU\S-1-5-21-282622394-918428586-1581471606-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Users\Dan\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","DELLWIN10\Dan"
"DELLWIN10","Gadwin PrintScreen","HKU\S-1-5-21-282622394-918428586-1581471606-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files (x86)\Gadwin Systems\PrintScreen\PrintScreen.exe /nosplash","DELLWIN10\Dan"
"DELLWIN10","SandboxieControl","HKU\S-1-5-21-282622394-918428586-1581471606-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\Sandboxie\SbieCtrl.exe""","DELLWIN10\Dan"
"DELLWIN10","NordVPN","HKU\S-1-5-21-282622394-918428586-1581471606-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files (x86)\NordVPN\NordVPN.exe","DELLWIN10\Dan"
"DELLWIN10","Splashtop Wired XDisplay Agent","Common Startup","C:\PROGRA~2\SPLASH~1\SPLASH~1\Agent\SWXDAG~1.EXE -h","Public"
"DELLWIN10","SecurityHealth","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","%ProgramFiles%\Windows Defender\MSASCuiL.exe","Public"
"DELLWIN10","IgfxTray","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Windows\system32\igfxtray.exe""","Public"
"DELLWIN10","HotKeysCmds","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Windows\system32\hkcmd.exe""","Public"
"DELLWIN10","Persistence","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Windows\system32\igfxpers.exe""","Public"
"DELLWIN10","Apoint","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files\DellTPad\Apoint.exe","Public"
