"Name","Type","Command_WinRM_PoSh","Command_WinRM_WMI","Command_WinRM_Cmd","Command_RPC_Posh","Command_WMI","Properties_PoSh","Properties_WMI","Command_WinRS_WMIC","Command_WinRS_CMD","Description","ExportFileName"
"AD Accounts (All Details and User Information)","User","Invoke-Command -ScriptBlock { Get-ADUser -Filter * -Properties * }","Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_UserAccount -Filter ""LocalAccount='False'"" }","","","Get-WmiObject -Class Win32_UserAccount -Filter ""LocalAccount='False'""","PSComputerName, Name, CanonicalName, SID, Enabled, LockedOut, AccountLockoutTime, Created, LogonWorkStations, LastLogonDate, LastBadPasswordAttempt, PasswordLastSet, PasswordExpired, PasswordNeverExpires, PasswordNotRequired, CannotChangePassword, MemberOf, SmartCardLogonRequired, ScriptPath, HomeDrive, Title, Organization, Office, POBox, StreetAddress, City, State, PostalCode, Fax, OfficePhone, HomePhone, MobilePhone, EmailAddress","PSComputerName, *","winrs wmic useraccount","","Gets all the details and user information for Active Directory accounts.","AD Accounts (All Details and User Information)"
"AD Accounts (Logon and Password Policy)","User","Invoke-Command -ScriptBlock { Get-ADUser -Filter * -Properties * }","","","","","PSComputerName, Name, Enabled, LockedOut, AccountLockoutTime, LogonWorkStations, LastLogonDate, LastBadPasswordAttempt, PasswordLastSet, PasswordExpired, PasswordNeverExpires, PasswordNotRequired, CannotChangePassword","PSComputerName, *","","","Gets the logon and password policy for Active Directory accounts.","AD Accounts (Logon and Password Policy)"
"AD Accounts (Contact Information)","User","Invoke-Command -ScriptBlock { Get-ADUser -Filter * -Properties * }","","","","","PSComputerName, Name, Title, Organization, Office, POBox, StreetAddress, City, State, PostalCode, Fax, OfficePhone, HomePhone, MobilePhone, EmailAddress","PSComputerName, *","","","Gets just the contact information for Active Directory accounts.","AD Accounts (Contact Information)"
"AD Accounts (Disabled)","User","Invoke-Command -ScriptBlock { Search-ADAccount -AccountDisabled }","","Invoke-Command -ScriptBlock { cmd /c dsquery user -disabled }","","","PSComputerName, Name, Enabled, LockedOut, LastLogonDate, AccountExpirationDate, PasswordExpired, PaswordNeverExpires, SID, SamAccountName, UserPrincipalName, DistinguishedName, ObjectClass, ObjectGUID","PSComputerName, *","","winrs dsquery user -disabled","Gets Active Directory accounts that are disabled.","AD Accounts (Disabled)"
"AD Accounts (Expired)","User","Invoke-Command -ScriptBlock { Search-ADAccount -AccountExpired }","","","","","PSComputerName, Name, Enabled, LockedOut, LastLogonDate, AccountExpirationDate, PasswordExpired, PaswordNeverExpires, SID, SamAccountName, UserPrincipalName, DistinguishedName, ObjectClass, ObjectGUID","PSComputerName, *","","","Gets Active Directory accounts that are expired.","AD Accounts (Expired)"
"AD Accounts (Inactive)","User","Invoke-Command -ScriptBlock { Search-ADAccount -AccountInactive }","","Invoke-Command -ScriptBlock { cmd /c dsquery user domainroot -inactive 4 }","","","PSComputerName, Name, Enabled, LockedOut, LastLogonDate, AccountExpirationDate, PasswordExpired, PaswordNeverExpires, SID, SamAccountName, UserPrincipalName, DistinguishedName, ObjectClass, ObjectGUID","PSComputerName, *","","winrs dsquery user domainroot -inactive 4","Gets Active Directory accounts that are inactive.","AD Accounts (Inactive)"
"AD Accounts (Locked Out)","User","Invoke-Command -ScriptBlock { Search-ADAccount -LockedOut }","","","","","PSComputerName, Name, Enabled, LockedOut, LastLogonDate, AccountExpirationDate, PasswordExpired, PaswordNeverExpires, SID, SamAccountName, UserPrincipalName, DistinguishedName, ObjectClass, ObjectGUID","PSComputerName, *","","","Gets Active Directory accounts that are locked out.","AD Accounts (Locked Out)"
"AD Accounts (Created Within 30 Days)","User","Invoke-Command -ScriptBlock { $days = ((Get-Date).AddDays(-30)).Date ; Get-ADUser -Filter {whenCreated -ge $days} -Properties whenCreated }","","","","","PSComputerName, Name, Enabled, LockedOut, LastLogonDate, AccountExpirationDate, PasswordExpired, PaswordNeverExpires, SID, SamAccountName, UserPrincipalName, DistinguishedName, ObjectClass, ObjectGUID","PSComputerName, *","","","Gets Active Directory accounts that were created within the last 30 days.","AD Accounts (Created Within 30 Days)"
"AD Accounts (Password Last Set)","User","Invoke-Command -ScriptBlock { Get-ADUser -Filter * -Properties PasswordLastSet }","","","","","PSComputerName, Name, PasswordLastSet, Enabled, SamAccountName, SID","PSComputerName, *","","","","AD Accounts (Password Last Set)"
"AD Accounts (Password Last Set Domain Admins)","User","Invoke-Command -ScriptBlock { Get-ADGroupMember -Identity ""Domain Admins"" | Get-ADUser -Properties PasswordLastSet }","","","","","PSComputerName, Name, PasswordLastSet, Enabled, SamAccountName, SID","PSComputerName, *","","","","AD Accounts (Password Last Set Domain Admins)"
