"Name","ProcessID","ParentProcessName","ParentProcessID","ServiceInfo","StartTime","Duration","CPU","TotalProcessorTime","NetworkConnections","NetworkConnectionCount","CommandLine","Path","WorkingSet","MemoryUsage","MD5Hash","SignerCertificate","StatusMessage","SignerCompany","Company","Product","ProductVersion","Description","Modules","ModuleCount","Threads","ThreadCount","Handle","Handles","HandleCount","Owner","OwnerSID","PSComputerName","RunspaceId","PSShowComputerName"
"Idle","0","Idle","0","AeLookupSvc [Manual Start By localSystem]
",,,,,"[TimeWait] ::1;56440 <--> ::1;47001 [12/31/1600 19:00:00]
[TimeWait] ::1;56429 <--> ::1;135 [12/31/1600 19:00:00]
[TimeWait] ::1;56419 <--> ::1;135 [12/31/1600 19:00:00]
[TimeWait] ::1;56417 <--> ::1;49155 [12/31/1600 19:00:00]
[TimeWait] ::1;56416 <--> ::1;135 [12/31/1600 19:00:00]","5",,,"4096","4 KB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","2",,"0","0",,,"MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"System","4","Idle","0",,"1/7/2020 12:48:20 AM","00:38:01.9531424","30.203125","00:00:30.2031250","[Listen] ::;47001 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;5985 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::1;2049 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;445 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;443 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;111 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;80 <--> ::;0 [12/31/1600 19:00:00]
[Established] 10.13.14.81;5985 <--> 10.13.14.80;1880 [01/07/2020 01:26:20]
[Established] 10.13.14.81;5985 <--> 10.13.14.80;1886 [01/07/2020 01:26:21]
[Established] 10.13.14.81;5985 <--> 10.13.14.80;1881 [01/07/2020 01:26:21]
[Listen] 127.0.0.1;2049 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 10.13.14.81;2049 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Established] 10.13.14.81;445 <--> 10.13.14.80;1612 [01/07/2020 00:49:29]
[Listen] 0.0.0.0;111 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","14",,,"266240","260 KB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","99",,"787","787",,,"MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"smss","244","System","4",,"1/7/2020 12:48:20 AM","00:38:01.9531424","0.078125","00:00:00.0781250",,"0",,,"1073152","1.02 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","2",,"52","52","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"csrss","420",,"408",,"1/7/2020 12:48:33 AM","00:37:49.0806549","0.390625","00:00:00.3906250",,"0",,,"4014080","3.83 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","8",,"274","274","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"csrss","484",,"476",,"1/7/2020 12:48:33 AM","00:37:48.6457800","0.265625","00:00:00.2656250",,"0",,,"3866624","3.69 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","10",,"100","100","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"wininit","492",,"408",,"1/7/2020 12:48:33 AM","00:37:48.6301517","0.0625","00:00:00.0625000","[Listen] ::;49152 <--> ::;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;49152 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","2",,"C:\Windows\system32\wininit.exe","4055040","3.87 MB","A283A3000E631E281EC3B9F2A029FAAF76AAF267BB8B1921FB2B9B0B51C87D19",,"NotSigned",,"Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Windows Start-Up Application","wininit.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll RPCRT4.dll sechost.dll profapi.dll SspiCli.dll wininitext.dll USER32.dll GDI32.dll WS2_32.dll NSI.dll mswsock.dll","15","System.Diagnostics.ProcessThread","1","2552","78","78","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"services","536","wininit","492",,"1/7/2020 12:48:33 AM","00:37:48.4038654","1.53125","00:00:01.5312500","[Listen] ::;49222 <--> ::;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;49222 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","2",,,"7688192","7.33 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","5",,"308","308","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"winlogon","560",,"476",,"1/7/2020 12:48:33 AM","00:37:48.3882394","0.0625","00:00:00.0625000",,"0",,"C:\Windows\system32\winlogon.exe","5976064","5.7 MB","C11E952B6204D81327DC135FEFB765C85C648F3AD788FB39FB471F9E31621D2C",,"NotSigned",,"Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Windows Logon Application","winlogon.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll advapi32.dll sechost.dll powrprof.dll RPCRT4.dll SspiCli.dll winlogonext.dll USER32.dll GDI32.dll IMM32.DLL MSCTF.dll profapi.dll winsta.dll uxinit.dll UxTheme.dll combase.dll CRYPT32.dll MSASN1.dll DPAPI.dll CRYPTBASE.dll bcryptPrimitives.dll apphelp.dll","26","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","2","1072","120","120","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"lsass","580","wininit","492","EFS [Auto Start By LocalSystem]
","1/7/2020 12:48:33 AM","00:37:48.3413646","5.703125","00:00:05.7031250","[Bound] ::;56183 <--> ::;0 [12/31/1600 19:00:00]
[Established] ::1;56183 <--> ::1;49155 [12/31/1600 19:00:00]
[Listen] ::;49158 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;49157 <--> ::;0 [12/31/1600 19:00:00]
[Established] ::1;49155 <--> ::1;56183 [01/07/2020 01:03:45]
[Established] ::1;49155 <--> ::1;49249 [01/07/2020 00:50:24]
[Listen] ::;49155 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;464 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;88 <--> ::;0 [12/31/1600 19:00:00]
[Bound] 0.0.0.0;56408 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Established] 10.13.14.81;56408 <--> 10.13.14.70;49155 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;49158 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;49157 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Established] 10.13.14.81;49155 <--> 10.13.14.70;56848 [01/07/2020 01:23:04]
[Listen] 0.0.0.0;49155 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;3269 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;3268 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;636 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Established] 127.0.0.1;389 <--> 127.0.0.1;56221 [01/07/2020 01:05:51]
[Established] 127.0.0.1;389 <--> 127.0.0.1;49163 [01/07/2020 00:48:56]
[Established] 127.0.0.1;389 <--> 127.0.0.1;49179 [01/07/2020 00:49:15]
[Established] 127.0.0.1;389 <--> 127.0.0.1;49161 [01/07/2020 00:48:56]
[Established] 10.13.14.81;389 <--> 10.13.14.81;49251 [01/07/2020 00:50:24]
[Established] 10.13.14.81;389 <--> 10.13.14.81;49247 [01/07/2020 00:50:24]
[Established] 10.13.14.81;389 <--> 10.13.14.70;56634 [01/07/2020 00:49:35]
[Established] 10.13.14.81;389 <--> 10.13.14.81;49185 [01/07/2020 00:49:16]
[Listen] 0.0.0.0;389 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","27",,"C:\Windows\system32\lsass.exe","60919808","58.1 MB","9C7229F10F11D18E1FED6395391A46225A84B421034B9AB6F81AF7430FDC556F","826B2E27B4A7DFC3ED7D34AD6A5BA22699D205D6","Valid","Microsoft Windows Publisher","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.17415","Local Security Authority Process","lsass.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll RPCRT4.dll SspiSrv.dll SspiCli.dll sechost.dll lsasrv.dll msvcrt.dll WS2_32.dll cfgmgr32.dll MSASN1.dll NSI.dll samsrv.dll bcrypt.dll ncrypt.dll NTASN1.dll lsadb.dll DSPARSE.dll ADVAPI32.dll CRYPTBASE.DLL bcryptPrimitives.dll msprivs.DLL netjoin.dll negoexts.DLL cryptdll.dll kerberos.DLL CRYPTSP.dll mswsock.dll msv1_0.DLL netlogon.DLL DNSAPI.dll logoncli.dll powrprof.dll USERENV.dll profapi.dll tspkg.DLL pku2u.DLL wdigest.DLL rsaenh.dll schannel.DLL CRYPT32.dll efslsaext.dll dpapisrv.dll ntdsa.dll bcd.dll winsta.dll ntdsai.dll AUTHZ.dll IPHLPAPI.DLL WLDAP32.dll NTDSKCC.dll ntdsbsrv.dll NTDSAPI.dll NTDSATQ.dll ESENT.dll VERSION.dll KdsCli.dll DSROLESRV.dll SYSNTFY.dll WINNSI.DLL W32TOPL.dll VSSAPI.DLL wevtapi.dll OLEAUT32.dll combase.dll WDSCORE.dll VssTrace.DLL DSROLE.dll ntdsmsg.dll netutils.dll KDCPW.DLL rassfm.DLL scecli.DLL McAfeeTrueKeyPasswordFilter.DLL WINTRUST.dll MSVCP120.dll MSVCR120.dll wkscli.dll kdcsvc.dll mdnsNSP.dll rasadhlp.dll fwpuclnt.dll dssenh.dll ole32.dll GDI32.dll USER32.dll kernel.appcore.dll samcli.dll SAMLIB.dll clbcatq.dll es.dll PROPSYS.dll pwdssp.dll RpcRtRemote.dll rpchttp.dll Secur32.dll pcwum.dll WINBRAND.dll dhcpcsvc6.DLL dhcpcsvc.DLL srvcli.dll cscapi.dll gpapi.dll efssvc.dll EFSCORE.dll EFSUTIL.dll WTSAPI32.dll certpoleng.dll ncryptsslp.dll ncryptprov.dll","112","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","32","1332","1527","1527","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
"svchost","732","services","536","BrokerInfrastructure [Auto Start By LocalSystem]
","1/7/2020 12:48:35 AM","00:37:46.2199755","0.390625","00:00:00.3906250",,"0",,"C:\Windows\system32\svchost.exe","9670656","9.22 MB","C7DB4AE8175C33A47BAA3DDFA089FAD17BC8E362F21E835D78AB22C9231FE370","826B2E27B4A7DFC3ED7D34AD6A5BA22699D205D6","Valid","Microsoft Windows Publisher","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll SspiCli.dll umpnpmgr.dll msvcrt.dll umpo.dll umpoext.dll cfgmgr32.dll powrprof.dll pcwum.dll HID.DLL gpapi.dll rpcss.dll combase.dll lsm.dll SYSNTFY.dll WMsgAPI.dll bisrv.dll OLEAUT32.dll psmsrv.dll CRYPTBASE.dll bcryptPrimitives.dll DEVOBJ.dll Userenv.dll profapi.dll systemeventsbrokerserver.dll kernel.appcore.dll bi.dll DAB.dll user32.dll GDI32.dll clbcatq.dll CRYPTSP.dll rsaenh.dll bcrypt.dll ADVAPI32.dll wtsapi32.dll WINSTA.dll lsmproxy.dll","43","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","8","4268","353","353","NT AUTHORITY\SYSTEM","S-1-5-18","MEGATRON","753544eb-381f-4f3c-abac-92b9d16d3138","True"
