"Name","ProcessID","ParentProcessName","ParentProcessID","ServiceInfo","StartTime","Duration","CPU","TotalProcessorTime","NetworkConnections","NetworkConnectionCount","CommandLine","Path","WorkingSet","MemoryUsage","MD5Hash","SignerCertificate","StatusMessage","SignerCompany","Company","Product","ProductVersion","Description","Modules","ModuleCount","Threads","ThreadCount","Handle","Handles","HandleCount","Owner","OwnerSID","PSComputerName","RunspaceId","PSShowComputerName"
"Idle","0","Idle","0","AeLookupSvc [Manual Start By localSystem]
",,,,,,"0",,,"4096","4 KB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","8",,"0","0",,,"PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"System","4","Idle","0",,"1/7/2020 12:19:42 AM","01:06:33.8207209","89.953125","00:01:29.9531250","[Listen] ::;47001 <--> ::;0 [12/31/1600 19:00:00]
[Established] fe80::c122:1bd7:6715:32ea%6;5985 <--> fe80::c122:1bd7:6715:32ea%6;1894 [01/07/2020 01:26:15]
[Established] fe80::c122:1bd7:6715:32ea%6;5985 <--> fe80::c122:1bd7:6715:32ea%6;1890 [01/07/2020 01:26:13]
[Established] fe80::c122:1bd7:6715:32ea%6;5985 <--> fe80::c122:1bd7:6715:32ea%6;1885 [01/07/2020 01:26:13]
[Listen] ::;5985 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;445 <--> ::;0 [12/31/1600 19:00:00]
[Established] 10.13.14.80;1612 <--> 10.13.14.81;445 [12/31/1600 19:00:00]
[Listen] 192.168.157.1;139 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 192.168.68.124;139 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 192.168.59.1;139 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 169.254.50.234;139 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 10.13.14.80;139 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","12",,,"1560576","1.49 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","142",,"1654","1654",,,"PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"smss","360","System","4",,"1/7/2020 12:19:42 AM","01:06:33.7894476","0.53125","00:00:00.5312500",,"0",,,"1105920","1.05 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","2",,"44","44","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"csrss","512",,"500",,"1/7/2020 12:19:56 AM","01:06:19.8129666","2.78125","00:00:02.7812500",,"0",,,"4288512","4.09 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","9",,"387","387","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"wininit","612",,"500",,"1/7/2020 12:20:00 AM","01:06:16.6699387","0.484375","00:00:00.4843750","[Listen] ::;1025 <--> ::;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;1025 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","2",,"C:\Windows\system32\wininit.exe","4100096","3.91 MB","A283A3000E631E281EC3B9F2A029FAAF76AAF267BB8B1921FB2B9B0B51C87D19","14590DC5C3AAF238FCFD7785B4B93F4071402C34","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Windows Start-Up Application","wininit.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll RPCRT4.dll sechost.dll profapi.dll SspiCli.dll wininitext.dll USER32.dll GDI32.dll WS2_32.dll NSI.dll mswsock.dll","15","System.Diagnostics.ProcessThread","1","5772","77","77","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"csrss","620",,"604",,"1/7/2020 12:20:00 AM","01:06:16.6699387","56.140625","00:00:56.1406250",,"0",,,"10391552","9.91 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","15",,"630","630","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"winlogon","672",,"604",,"1/7/2020 12:20:01 AM","01:06:15.5293060","0.609375","00:00:00.6093750",,"0",,"C:\Windows\system32\winlogon.exe","13602816","12.97 MB","38D1695F08EC655945CA7A40E7D9485696FFA0BFB7DC809E4CBDBA09EA160BC9","0DD6D4D4F46C0C7C2671962C4D361D607E370940","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Windows Logon Application","winlogon.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll msvcrt.dll advapi32.dll sechost.dll powrprof.dll RPCRT4.dll SspiCli.dll winlogonext.dll USER32.dll GDI32.dll IMM32.DLL MSCTF.dll profapi.dll winsta.dll uxinit.dll UxTheme.dll combase.dll CRYPT32.dll MSASN1.dll DPAPI.dll CRYPTBASE.dll bcryptPrimitives.dll apphelp.dll ntmarta.dll MPR.dll drprov.dll ntlanman.dll davclnt.dll DAVHLPR.dll mprext.dll cscapi.dll netutils.dll wkscli.dll WINHTTP.dll WS2_32.dll NSI.dll urlmon.dll ole32.dll SHLWAPI.dll iertutil.dll WININET.dll USERENV.dll OLEAUT32.dll IPHLPAPI.DLL WINNSI.DLL dhcpcsvc6.DLL dhcpcsvc.DLL DNSAPI.dll kernel.appcore.dll mswsock.dll rasadhlp.dll webio.dll fwpuclnt.dll ondemandconnroutehelper.dll Secur32.dll","58","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","2","6012","261","261","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"services","712","wininit","612",,"1/7/2020 12:20:01 AM","01:06:14.9141727","2.0625","00:00:02.0625000","[Listen] ::;1067 <--> ::;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;1067 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","2",,,"7610368","7.26 MB",,,,,,,,,,"0","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","6",,"271","271","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"lsass","736","wininit","612","Netlogon [Auto Start By LocalSystem]
","1/7/2020 12:20:01 AM","01:06:14.8829205","19.78125","00:00:19.7812500","[Listen] ::;1053 <--> ::;0 [12/31/1600 19:00:00]
[Listen] ::;1030 <--> ::;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;1053 <--> 0.0.0.0;0 [12/31/1600 19:00:00]
[Listen] 0.0.0.0;1030 <--> 0.0.0.0;0 [12/31/1600 19:00:00]","4",,"C:\Windows\system32\lsass.exe","18948096","18.07 MB","9C7229F10F11D18E1FED6395391A46225A84B421034B9AB6F81AF7430FDC556F","E85459B23C232DB3CB94C7A56D47678F58E8E51E","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.17415","Local Security Authority Process","lsass.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll RPCRT4.dll SspiSrv.dll SspiCli.dll sechost.dll lsasrv.dll msvcrt.dll WS2_32.dll cfgmgr32.dll MSASN1.dll NSI.dll samsrv.dll bcrypt.dll ncrypt.dll NTASN1.dll msprivs.DLL netjoin.dll bcryptprimitives.dll negoexts.DLL CRYPTBASE.dll cryptdll.dll kerberos.DLL CRYPTSP.dll mswsock.dll msv1_0.DLL netlogon.DLL DNSAPI.dll logoncli.dll powrprof.dll USERENV.dll advapi32.dll profapi.dll tspkg.DLL pku2u.DLL livessp.DLL rsaenh.dll wdigest.DLL schannel.DLL CRYPT32.dll efslsaext.dll dpapisrv.dll scecli.DLL netutils.dll winsta.dll wkscli.dll pcwum.dll AUTHZ.dll IPHLPAPI.DLL WINNSI.DLL WLDAP32.dll rasadhlp.dll fwpuclnt.dll DSPARSE.dll winbrand.dll gpapi.dll wevtapi.dll secur32.dll ntdsapi.dll ncryptsslp.dll ncryptprov.dll combase.dll dssenh.dll vaultsvc.dll fveapi.dll bcd.dll FVECERTS.dll certpoleng.dll cryptnet.dll dhcpcsvc6.DLL dhcpcsvc.DLL WINHTTP.dll user32.dll GDI32.dll webio.dll","77","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","9","5760","1246","1246","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
"svchost","812","services","712","BrokerInfrastructure [Auto Start By LocalSystem]
","1/7/2020 12:20:02 AM","01:06:14.2820813","8.09375","00:00:08.0937500",,"0",,"C:\Windows\system32\svchost.exe","13959168","13.31 MB","C7DB4AE8175C33A47BAA3DDFA089FAD17BC8E362F21E835D78AB22C9231FE370","DF3B9B7E5AEA1AA0B82EA25F542A6A00963AB890","Valid","Microsoft Windows","Microsoft Corporation","Microsoft? Windows? Operating System","6.3.9600.16384","Host Process for Windows Services","svchost.exe ntdll.dll KERNEL32.DLL KERNELBASE.dll sechost.dll RPCRT4.dll SspiCli.dll umpnpmgr.dll msvcrt.dll umpo.dll umpoext.dll cfgmgr32.dll powrprof.dll pcwum.dll HID.DLL gpapi.dll rpcss.dll combase.dll bisrv.dll OLEAUT32.dll psmsrv.dll lsm.dll SYSNTFY.dll WMsgAPI.dll CRYPTBASE.dll bcryptPrimitives.dll DEVOBJ.dll kernel.appcore.dll Userenv.dll profapi.dll systemeventsbrokerserver.dll bi.dll DAB.dll user32.dll GDI32.dll clbcatq.dll CRYPTSP.dll rsaenh.dll bcrypt.dll ADVAPI32.dll wtsapi32.dll WINSTA.dll lsmproxy.dll actxprxy.dll twinapi.dll shcore.dll","46","System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread System.Diagnostics.ProcessThread","11","3800","538","538","NT AUTHORITY\SYSTEM","S-1-5-18","PHOENIX","12718791-cad4-4b97-824c-6560b8b45a77","True"
