"PSComputerName","Status","Name","Path","Description"
"MEGATRON","OK","ADMIN$","C:\Windows","Remote Admin"
"MEGATRON","OK","B$","B:\","Default share"
"MEGATRON","OK","Backup","B:\",""
"MEGATRON","OK","C$","C:\","Default share"
"MEGATRON","OK","E$","E:\","Default share"
"MEGATRON","OK","Entertainment","E:\",""
"MEGATRON","OK","File Storage","S:\",""
"MEGATRON","OK","Home","C:\DFSRoots\Home",""
"MEGATRON","OK","IPC$","","Remote IPC"
"MEGATRON","OK","L$","L:\","Default share"
"MEGATRON","OK","Live Laugh Love","L:\",""
"MEGATRON","OK","Live, Laugh, Love","L:\",""
"MEGATRON","OK","NETLOGON","C:\Windows\SYSVOL\sysvol\komnick.com\SCRIPTS","Logon server share "
"MEGATRON","OK","S$","S:\","Default share"
"MEGATRON","OK","SysinternalsSuite","C:\Users\daniel\Desktop\SysinternalsSuite",""
"MEGATRON","OK","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share "
"MEGATRON","OK","W$","W:\","Default share"
"MEGATRON","OK","Work Folders","W:\Shares\Work Folders",""
"PHOENIX","OK","ADMIN$","C:\Windows","Remote Admin"
"PHOENIX","OK","B$","B:\","Default share"
"PHOENIX","OK","C$","C:\","Default share"
"PHOENIX","OK","IPC$","","Remote IPC"
"PHOENIX","OK","P$","P:\","Default share"
