"Name","OperatingSystem","CanonicalName","IPv4Address","MACAddress","Notes"
"DC1","Ex Windows Server 2012 R2 Datacenter","/Ex Domain Controllers","169.254.79.222","No MAC Available","No Notes Available"
"WSUS","Ex Windows Server 2012 R2 Datacenter","/Ex Servers/Administrative","10.10.10.23","No MAC Available","No Notes Available"
"APP","Ex Windows Server 2012 R2 Datacenter","/Ex Servers/Administrative","10.10.10.22","No MAC Available","No Notes Available"
"WIN81-01","Ex Windows 8.1 Pro","/Ex US Branch/Management","10.10.10.100","No MAC Available","No Notes Available"
"WIN81-03","Ex Windows 8.1 Pro","/Ex US Branch/Guest","10.10.10.102","No MAC Available","No Notes Available"
"WIN81-02","Ex Windows 8.1 Pro","/Ex US Branch/Management","10.10.10.101","No MAC Available","No Notes Available"
"FILE","Ex Windows Server 2012 R2 Datacenter","/Ex Servers/Business","10.10.10.104","No MAC Available","No Notes Available"
"WIN10-01","Ex Windows 10 Enterprise Evaluation","/Ex US Branch/Employee","10.10.10.105","No MAC Available","No Notes Available"
"WIN10-03","Ex Windows 10 Enterprise Evaluation","/Ex US Branch/Employee","10.10.10.114","No MAC Available","No Notes Available"
"WIN10-02","Ex Windows 10 Enterprise Evaluation","/Ex US Branch/Employee","10.10.10.106","No MAC Available","No Notes Available"
