RegEx,Description,Example
[a-z],Matches on a lowercase character,a
[A-Z]+,Matches on multiple uppercase characters,UPPERCASE
[0-9],Matches any number,123564234654
[A-Za-z0-9],Matches any AlphaNumeric value,123abc
[aeiouy],Matches any vowels,PoSh-ACME
[a-z-[aeiou]],Matches on any constenant,t
[a-z]{3},Matches on 3 lowercase characters,dan
^abc,Matches on the beginning of a line,abc and xyz
end$,Matches the end of the line,this is the end
T[ao]p,Matches on either or,Tap -or Top
[\d\D]+,Matches one character that is a digit or non-digit,Any characters including new lines which the regular dot doesnt match
[\x41-\x45]{3},Matches on hexadecimal character,ABE
(?i)Monday,Case insensitive,mOnDaY
,,
"([0-9]{1,3}\.){3}[0-9]{1,3}",Simple matches on IPv4 Address with false positives,192.168.138.1
"\b(?:\d{1,3}\.){3}\d{1,3}\b",Simple matches on IPv4 Address with boundaries with false positives,192.168.138.1
(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?),Accurate match on IPv4 addresses with less false positives,c
[(http)(https)]://,Matches http:// or https:// anywhere within string,http:// or https://
https?://[a-zA-Z0-9.,"+:,/%#@$&?!=~_-]+",Matches on any http or https url
((\()?[0-9]{3}(\))?[0-9]{3}-[0-9]{4}),Matches on Phone Numbers,(720)234-7834
\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,6}\b,Matches on Email Addresses
<(\w+)>,Matches on scripting tags,<a> -or <script>
>([\w\s]*)<,Matches on content within scripting tags,> ...code... <
(?<=\d)script,Matches on search term and content between them,script>...code...<\script
[\p{IsArabic}-[\D]],Matches Arabic characters that are non-digit,
[\S&&[\D]&&[^a-zA-Z]],Matches non-whitespace character that is not a non-digit and not a letter.,
