"Name","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"csrss","404","404",,"5/24/2020 9:50:21 PM","913408",,"231","10",,,,"Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"csrss","456","456",,"5/24/2020 9:50:21 PM","196608",,"90","9",,,,"Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"dllhost","1816","1816","C:\Windows\system32\DllHost.exe","5/27/2020 1:15:41 PM","3690496","1644","97","6","Microsoft Corporation","Microsoft? Windows? Operating System","COM Surrogate","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"dwm","764","764","C:\Windows\system32\dwm.exe","5/24/2020 9:50:23 PM","651264","1688","181","7","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"Idle","0","0",,,"4096",,"0","1",,,,"Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"LogonUI","748","748","C:\Windows\system32\LogonUI.exe","5/24/2020 9:50:23 PM","13205504","1772","370","10","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon User Interface Host","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"lsass","560","560","C:\Windows\system32\lsass.exe","5/24/2020 9:50:22 PM","5697536","1816","889","6","Microsoft Corporation","Microsoft? Windows? Operating System","Local Security Authority Process","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"MsMpEng","1260","1260",,"5/24/2020 9:50:26 PM","24993792",,"494","15",,,,"Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"SearchFilterHost","2952","2952","C:\Windows\system32\SearchFilterHost.exe","5/27/2020 1:14:25 PM","4026368","1900","100","3","Microsoft Corporation","Windows? Search","Microsoft Windows Search Filter Host","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"SearchIndexer","2848","2848","C:\Windows\system32\SearchIndexer.exe","5/24/2020 9:52:28 PM","8036352","1944","690","11","Microsoft Corporation","Windows? Search","Microsoft Windows Search Indexer","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"SearchProtocolHost","1728","1728","C:\Windows\system32\SearchProtocolHost.exe","5/27/2020 1:14:25 PM","6840320","1988","303","5","Microsoft Corporation","Windows? Search","Microsoft Windows Search Protocol Host","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"services","552","552",,"5/24/2020 9:50:22 PM","4231168",,"212","1",,,,"Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"smss","316","316",,"5/24/2020 9:50:19 PM","180224",,"44","2",,,,"Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
"spoolsv","1032","1032","C:\Windows\System32\spoolsv.exe","5/24/2020 9:50:25 PM","1306624","2116","340","8","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","Win81-05a","a035eacf-faf4-45bf-a744-aeaa7d205247","True"
