"ComputerName","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","CreationTime","Duration","ParentProcessId","ProcessID","ProcessName","CommandLine","MD5Hash","ExecutablePath","Protocol","PSComputerName","RunspaceId","PSShowComputerName"
"127.0.0.1","192.168.68.122","50291","54.192.192.183","443","Established","1/24/2021 12:18:48 AM","00:03:16.2135714","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","50284","172.217.9.206","443","Established","1/24/2021 12:17:55 AM","00:04:09.3871207","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","50276","13.32.196.87","443","Established","1/24/2021 12:17:26 AM","00:04:38.4141167","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","50265","172.217.164.163","443","Established","1/24/2021 12:17:23 AM","00:04:41.4421126","8376","9180","chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1668,10233665025295822954,13916224771911980719,131072 --lang=en-US --service-sandbox-type=network --mojo-platform-channel-handle=1788 /prefetch:8","F0A4753E6F7829172CE4DE0A202214B1","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","50248","23.221.72.201","443","CloseWait","1/24/2021 12:15:01 AM","00:07:03.4981206","1036","11172","SearchUI.exe","""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca","B031A5C9D823CDCAC36188E6BDBF04C1","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","49993","104.45.188.91","443","CloseWait","1/24/2021 12:04:52 AM","00:17:12.6111114","1036","9728","SystemSettings.exe","""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel","E049A2E240CDC12F858C9FA6F6563407","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","49983","23.207.202.203","443","CloseWait","1/24/2021 12:04:35 AM","00:17:29.8151115","1036","10804","WinStore.App.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca","2CB4A6BEC02764BC6DE39152FE3DB14D","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","49970","69.192.108.133","443","CloseWait","1/24/2021 12:04:33 AM","00:17:31.9341169","1036","10804","WinStore.App.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca","2CB4A6BEC02764BC6DE39152FE3DB14D","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","49969","69.192.108.133","443","CloseWait","1/24/2021 12:04:33 AM","00:17:32.0311128","1036","10804","WinStore.App.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca","2CB4A6BEC02764BC6DE39152FE3DB14D","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
"127.0.0.1","192.168.68.122","49968","69.192.108.133","443","CloseWait","1/24/2021 12:04:33 AM","00:17:32.1451140","1036","10804","WinStore.App.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca","2CB4A6BEC02764BC6DE39152FE3DB14D","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe","TCP","127.0.0.1","d8853de7-51c1-417b-95e3-dacf79271985","True"
