CurrentWindowsEventID,LegacyWindowsEventID,PotentialCriticality,EventSummary
4618,NA,High,A monitored security event pattern has occurred.
4649,NA,High,A replay attack was detected. May be a harmless false positive due to misconfiguration error.
4719,612,High,System audit policy was changed.
4765,NA,High,SID History was added to an account.
4766,NA,High,An attempt to add SID History to an account failed.
4794,NA,High,An attempt was made to set the Directory Services Restore Mode.
4897,801,High,Role separation enabled:
4964,NA,High,Special groups have been assigned to a new logon.
5124,NA,High,A security setting was updated on the OCSP Responder Service
NA,550,High,Possible denial-of-service (DoS) attack
1102,517,High,The audit log was cleared
4621,NA,Medium,Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.
4675,NA,Medium,SIDs were filtered.
4692,NA,Medium,Backup of data protection master key was attempted.
4693,NA,Medium,Recovery of data protection master key was attempted.
4706,610,Medium,A new trust was created to a domain.
4713,617,Medium,Kerberos policy was changed.
4714,618,Medium,Encrypted data recovery policy was changed.
4715,NA,Medium,The audit policy (SACL) on an object was changed.
4716,620,Medium,Trusted domain information was modified.
4724,628,Medium,An attempt was made to reset an account's password.
4727,631,Medium,A security-enabled global group was created.
4735,639,Medium,A security-enabled local group was changed.
4737,641,Medium,A security-enabled global group was changed.
4739,643,Medium,Domain Policy was changed.
4754,658,Medium,A security-enabled universal group was created.
4755,659,Medium,A security-enabled universal group was changed.
4764,667,Medium,A security-disabled group was deleted
4764,668,Medium,A group's type was changed.
4780,684,Medium,The ACL was set on accounts which are members of administrators groups.
4816,NA,Medium,RPC detected an integrity violation while decrypting an incoming message.
4865,NA,Medium,A trusted forest information entry was added.
4866,NA,Medium,A trusted forest information entry was removed.
4867,NA,Medium,A trusted forest information entry was modified.
4868,772,Medium,The certificate manager denied a pending certificate request.
4870,774,Medium,Certificate Services revoked a certificate.
4882,786,Medium,The security permissions for Certificate Services changed.
4885,789,Medium,The audit filter for Certificate Services changed.
4890,794,Medium,The certificate manager settings for Certificate Services changed.
4892,796,Medium,A property of Certificate Services changed.
4896,800,Medium,One or more rows have been deleted from the certificate database.
4906,NA,Medium,The CrashOnAuditFail value has changed.
4907,NA,Medium,Auditing settings on object were changed.
4908,NA,Medium,Special Groups Logon table modified.
4912,807,Medium,Per User Audit Policy was changed.
4960,NA,Medium,"IPsec dropped an inbound packet that failed an integrity check. If this problem persists, it could indicate a network issue or that packets are being modified in transit to this computer. Verify that the packets sent from the remote computer are the same as those received by this computer. This error might also indicate interoperability problems with other IPsec implementations."
4961,NA,Medium,"IPsec dropped an inbound packet that failed a replay check. If this problem persists, it could indicate a replay attack against this computer."
4962,NA,Medium,IPsec dropped an inbound packet that failed a replay check. The inbound packet had too low a sequence number to ensure it was not a replay.
4963,NA,Medium,IPsec dropped an inbound clear text packet that should have been secured. This is usually due to the remote computer changing its IPsec policy without informing this computer. This could also be a spoofing attack attempt.
4965,NA,Medium,"IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI). This is usually caused by malfunctioning hardware that is corrupting packets. If these errors persist, verify that the packets sent from the remote computer are the same as those received by this computer. This error may also indicate interoperability problems with other IPsec implementations. In that case, if connectivity is not impeded, then these events can be ignored."
4976,NA,Medium,"During Main Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation."
4977,NA,Medium,"During Quick Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation."
