Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
0,N/A,N/A,"In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port",N/A,Well-Known,
0,TCP,UDP,Reserved,Official,Well-Known,
1,TCP,UDP,"TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA, but by design only TCP is specified.",Official,Well-Known,
4,TCP,UDP,Unassigned,Official,Well-Known,
5,TCP,UDP,Remote job entry,Official,Well-Known,
6,TCP,UDP,Unassigned,Official,Well-Known,
7,TCP,UDP,Echo Protocol,Official,Well-Known,
8,TCP,UDP,Unassigned,Official,Well-Known,
9,TCP SCTP,UDP,Discard Protocol,Official,Well-Known,
9,,UDP,Wake-on-LAN,Unofficial,Well-Known,
10,TCP,UDP,Unassigned,Official,Well-Known,
11,TCP,UDP,Active Users (systat service),Official,Well-Known,
12,TCP,UDP,Unassigned,Official,Well-Known,
13,TCP,UDP,Daytime Protocol,Official,Well-Known,
14,TCP,UDP,Unassigned,Official,Well-Known,
15,TCP,UDP,Previously netstat service,Unofficial,Well-Known,
16,TCP,UDP,Unassigned,Official,Well-Known,
17,TCP,UDP,Quote of the Day (QOTD),Official,Well-Known,
18,TCP,UDP,Message Send Protocol,Official,Well-Known,
19,TCP,UDP,Character Generator Protocol (CHARGEN),Official,Well-Known,
20,TCP,UDP,File Transfer Protocol (FTP) data transfer,Official,Well-Known,Plain Text
21,TCP SCTP,UDP,File Transfer Protocol (FTP) control (command),Official,Well-Known,Plain Text
22,TCP SCTP,UDP,"Secure Shell (SSH), secure logins, file transfers (scp, sftp) and port forwarding",Official,Well-Known,Cypher Text
23,TCP,UDP,Telnet protocol-unencrypted text communications,Official,Well-Known,Plain Text
25,TCP,UDP,"Simple Mail Transfer Protocol (SMTP), used for email routing between mail servers",Official,Well-Known,Plain Text
26,TCP,UDP,Unassigned,Official,Well-Known,
37,TCP,UDP,Time Protocol,Official,Well-Known,
38,TCP,UDP,Route Access Protocol (RAP)[importance?],Official,Well-Known,
39,TCP,UDP,Resource Location Protocol (RLP)[importance?]-used for determining the location of higher level services from hosts on a network,Official,Well-Known,
40,TCP,UDP,Unassigned,Official,Well-Known,
42,TCP,UDP,Host Name Server Protocol,Official,Well-Known,
43,TCP,UDP,WHOIS protocol,Official,Well-Known,
49,TCP,UDP,TACACS+ Login Host protocol[needs update?],Official,Well-Known,
50,TCP,UDP,Remote Mail Checking Protocol[importance?],Official,Well-Known,
51,,,Reserved,Official,Well-Known,
51,TCP,UDP,Previously Interface Message Processor logical address management[citation needed],Unofficial,Well-Known,
52,TCP,UDP,Xerox Network Systems (XNS) Time Protocol[importance?],Official,Well-Known,
53,TCP,UDP,Domain Name System (DNS),Official,Well-Known,Plain Text
54,TCP,UDP,Xerox Network Systems (XNS) clearinghouse[importance?],Official,Well-Known,
56,TCP,UDP,Xerox Network Systems (XNS) authentication[importance?],Official,Well-Known,
57,TCP,UDP,Any private terminal access[further explanation needed],Official,Well-Known,
58,TCP,UDP,Xerox Network Systems (XNS) Mail[importance?],Official,Well-Known,
67,TCP,UDP,Bootstrap Protocol (BOOTP) server; also used by Dynamic Host Configuration Protocol (DHCP),Official,Well-Known,Plain Text
68,TCP,UDP,Bootstrap Protocol (BOOTP) client; also used by Dynamic Host Configuration Protocol (DHCP),Official,Well-Known,Plain Text
69,TCP,UDP,Trivial File Transfer Protocol (TFTP),Official,Well-Known,Plain Text
70,TCP,UDP,Gopher protocol,Official,Well-Known,
71-74,TCP,UDP,NETRJS protocol,Official,Well-Known,
75,TCP,UDP,Any private dial out service[further explanation needed],Official,Well-Known,
77,TCP,UDP,Any private Remote job entry[further explanation needed],Official,Well-Known,
79,TCP,UDP,Finger protocol,Official,Well-Known,
80,TCP SCTP,UDP,Hypertext Transfer Protocol (HTTP),Official,Well-Known,
80,,UDP,QUIC (from Chromium) for HTTP[citation needed],Unofficial,Well-Known,Plain Text
81,,,Unassigned,Official,Well-Known,
81,TCP,,TorPark onion routing[verification needed],Unofficial,Well-Known,
82,,UDP,TorPark control[verification needed],Unofficial,Well-Known,
87,,,Any private terminal link[further explanation needed],Official,Well-Known,
88,TCP,UDP,Kerberos authentication system,Official,Well-Known,Cypher Text
90,TCP,UDP,dnsix (DoD Network Security for Information Exchange) Securit [sic?] Attribute Token Map[importance?],Official,Well-Known,
90,TCP,UDP,PointCast (dotcom)[third-party source needed],Unofficial,Well-Known,
99,TCP,,WIP message protocol[verification needed],Unofficial,Well-Known,
100,,,Unassigned (with known unauthorized use[further explanation needed]),Official,Well-Known,
101,TCP,UDP,NIC host name,Official,Well-Known,
102,TCP,UDP,ISO Transport Service Access Point (TSAP) Class 0 protocol;,Official,Well-Known,
104,TCP,UDP,Digital Imaging and Communications in Medicine (DICOM; also port 11112),Official,Well-Known,
105,TCP,UDP,CCSO Nameserver,Official,Well-Known,
107,TCP,UDP,Remote User Telnet Service (RTelnet),Official,Well-Known,
108,TCP,UDP,IBM Systems Network Architecture (SNA) gateway access server,Official,Well-Known,
109,TCP,UDP,"Post Office Protocol, version 2 (POP2)",Official,Well-Known,
110,TCP,UDP,"Post Office Protocol, version 3 (POP3)",Official,Well-Known,Plain Text
111,TCP,UDP,"Open Network Computing Remote Procedure Call (ONC RPC, sometimes referred to as Sun RPC)",Official,Well-Known,
112,TCP,,Virtual Router Redundancy Protocol (VRRP)[unreliable source?],Unofficial,Well-Known,
113,TCP,,"Ident, authentication service/identification protocol, used by IRC servers to identify users",Official,Well-Known,
113,TCP,UDP,"Authentication Service (auth), the predecessor to identification protocol. Used to determine a user's identity of a particular TCP connection.",Official,Well-Known,
114,,,Unassigned (deprecated since June 2004),Official,Well-Known,
115,TCP,UDP,Simple File Transfer Protocol,Official,Well-Known,
117,TCP,UDP,UUCP Mapping Project (path service)[citation needed],Official,Well-Known,
118,TCP,UDP,Structured Query Language (SQL) Services[jargon],Official,Well-Known,
119,TCP,UDP,"Network News Transfer Protocol (NNTP), retrieval of newsgroup messages",Official,Well-Known,
123,TCP,UDP,"Network Time Protocol (NTP), used for time synchronization",Official,Well-Known,Plain Text
126,TCP,UDP,"Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development",Official,Well-Known,
135,TCP,UDP,DCE endpoint resolution,Official,Well-Known,
135,TCP,UDP,"Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service, used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM",Official,Well-Known,
137,TCP,UDP,"NetBIOS Name Service, used for name registration and resolution",Official,Well-Known,Plain Text
138,TCP,UDP,NetBIOS Datagram Service,Official,Well-Known,Plain Text
139,TCP,UDP,NetBIOS Session Service,Official,Well-Known,Plain Text
143,TCP,UDP,"Internet Message Access Protocol (IMAP), management of electronic mail messages on a server",Official,Well-Known,Plain Text
152,TCP,UDP,Background File Transfer Program (BFTP)[importance?],Official,Well-Known,
153,TCP,UDP,"Simple Gateway Monitoring Protocol (SGMP), a protocol for remote inspection and alteration of gateway management information",Official,Well-Known,
156,TCP,UDP,Structured Query Language (SQL) Service[jargon],Official,Well-Known,
158,TCP,UDP,"Distributed Mail System Protocol (DMSP, sometimes referred to as Pcmail)[importance?]",Official,Well-Known,
161,TCP,UDP,Simple Network Management Protocol (SNMP)[citation needed],Official,Well-Known,Plain Text (v3 is Cypher Text)
162,TCP,UDP,Simple Network Management Protocol Trap (SNMPTRAP)[citation needed],Official,Well-Known,Plain Text (v3 is Cypher Text)
170,TCP,UDP,Print server[verification needed],Official,Well-Known,
177,TCP,UDP,"X Display Manager Control Protocol (XDMCP), used for remote logins to an X Display Manager server[self-published source]",Official,Well-Known,
179,TCP SCTP,UDP,"Border Gateway Protocol (BGP), used to exchange routing and reachability information among autonomous systems (AS) on the Internet",Official,Well-Known,
194,TCP,UDP,Internet Relay Chat (IRC),Official,Well-Known,
199,TCP,UDP,SNMP multiplexing protocol (SMUX)[importance?],Official,Well-Known,
201,TCP,UDP,AppleTalk Routing Maintenance,Official,Well-Known,
209,TCP,UDP,Quick Mail Transfer Protocol,Official,Well-Known,
210,TCP,UDP,ANSI Z39.50,Official,Well-Known,
213,TCP,UDP,Internetwork Packet Exchange (IPX),Official,Well-Known,
218,TCP,UDP,Message posting protocol (MPP),Official,Well-Known,
220,TCP,UDP,"Internet Message Access Protocol (IMAP), version 3",Official,Well-Known,
259,TCP,UDP,Efficient Short Remote Operations (ESRO),Official,Well-Known,
262,TCP,UDP,Arcisdms,Official,Well-Known,
264,TCP,UDP,Border Gateway Multicast Protocol (BGMP),Official,Well-Known,
280,TCP,UDP,http-mgmt,Official,Well-Known,
300,TCP,,ThinLinc Web Access,Unofficial,Well-Known,
