Process Name,Name,Image Path,Parent Process,Number of Instances,User Account,Start Time,Description,Notes,Recommended
compattelrunner.exe,Compatibility Appraiser Telemetry Runner,,,,,,"The genuine CompatTelRunner.exe file is a software component of Microsoft Windows by Microsoft Corporation.
""Compattelrunner.exe"" is the Microsoft Compatibility Appraiser, an executable file installed in Windows 7 and 8.1 machines by the update described in KB2977759. It is installed in ""C:\Windows\System32"". It is set to execute by the Task Scheduler which can be used to disable it. Large numbers of instances may operate concurrently. It scans application files residing on the computer to assess their compatibility with Windows 10 if an upgrade is performed. Described as part of the Customer Experience Improvement Program for PC's which opt-in, it collects and sends telemetry to Microsoft servers. Although not a heavy CPU user, it can monopolize disk I/O for up to 20 minutes at startup. Microsoft Corporation was founded by Paul Allen and Bill Gates in April 1975 and is now the world's largest software producer by revenue, with an emphasis on Cloud software services for the future.","CompatTelRunner.exe is an important part of Windows, but often causes problems. The file CompatTelRunner.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 67,816 bytes (17% of all occurrences), 122,536 bytes and 17 more variants. https://www.file.net/process/compattelrunner.exe.html 
The CompatTelRunner.exe file is a Windows system file. The program is not visible. It is digitally signed. It is a Microsoft signed file. Therefore the technical security rating is 0% dangerous, however you should also read the user reviews.",
conhost.exe,Console Application Host,,,,,,"The genuine conhost.exe file is a software component of Microsoft Windows/Microsoft Server by Microsoft Corporation.
At least two ""conhost.exe"" programs exist, one an essential Microsoft Windows system process and one a Trojan. The Microsoft Console Host program resides in ""C:\Windows\System32"" and should not be removed. It was created for Windows 7 and Windows Server 2008 R2 to thwart malware exploitation. In WinXP, ""console applications"" without GUI's, run with parameters from the command prompt, used a kernel call to send messages to ""CSRSS.exe"" for processing. ""CSRSS.exe"" has local system account privileges, which some malware exploited. ""Conhost.exe"" is a step before ""CSRSS.exe"" which has only the application's privileges and frustrates such exploits. The older Trojan ""conhost.exe"" predates Microsoft's. It is a crypto-currency miner, in a temporary folder, using up to 100% of the CPU to find Bitcoin or Monero crypto-currency units on other computers and send them elsewhere. It may mean the dangerous TDSS botnet virus is present, which Kaspersky's free tool removes.","Conhost.exe is not essential for Windows and will often cause problems. The conhost.exe file is located in a subfolder of the user's profile folder or sometimes in the Windows folder for temporary files (usually C:\Users\USERNAME\AppData\Roaming\Microsoft\ or C:\Users\USERNAME\Anwendungsdaten\Microsoft\). Known file sizes on Windows 10/8/7/XP are 169,984 bytes (4% of all occurrences), 169,472 bytes and 74 more variants. https://www.file.net/process/conhost.exe.html 
It is a file with no information about its developer. The program is not visible. The file is not a Windows core file. The process is loaded during the Windows boot process (see Registry key: MACHINE\Run, Run, TaskScheduler, User Shell Folders, win.ini, RunOnce, MACHINE\RunOnce, MACHINE\User Shell Folders, Shell Folders, DEFAULT\User Shell Folders). Conhost.exe is able to monitor applications.","If conhost.exe is located in the C:\Windows\System32 folder, the security rating is 4% dangerous. The file size is 271,360 bytes (79% of all occurrences), 46,592 bytes and 7 more variants. It is a Windows core system file. The program has no visible window. The file is a Microsoft signed file. Conhost.exe is able to record keyboard and mouse inputs.
If conhost.exe is located in a subfolder of ""C:\Program Files"", the security rating is 68% dangerous. The file size is 748,544 bytes (6% of all occurrences), 547,840 bytes and 39 more variants. There is no file information. The program is not visible. The file is not a Windows core file. Conhost.exe is able to monitor applications.
Uninstalling this variant: In case you experience problems using conhost.exe, you can also do the following:
  1) safely remove the program using the uninstall program of Hotfix for Microsoft Visual Studio 2007 (Control Panel ? Uninstall a Program)
  2) visit the www.microsoft.com support page.
If conhost.exe is located in a subfolder of C:\Windows, the security rating is 78% dangerous. The file size is 221,184 bytes (32% of all occurrences), 267,776 bytes and 6 more variants.
If conhost.exe is located in a subfolder of C:\, the security rating is 76% dangerous. The file size is 5,714,944 bytes (75% of all occurrences) or 267,776 bytes.
If conhost.exe is located in the C:\Windows folder, the security rating is 80% dangerous. The file size is 1,231,360 bytes.
If conhost.exe is located in a subfolder of Windows folder for temporary files, the security rating is 42% dangerous. The file size is 152,064 bytes."
cscript.exe,Command-Line Script,,,,,,"The genuine cscript.exe file is a software component of Microsoft Windows Script Host by Microsoft.
Console Based Script Host is a Windows scripting host. Cscript.exe is a file that executes the scripts of the command line script. This is not a threat to your PC.

Windows Console Based Script Host renders command line options for setting script properties. With this command line, users can run scripts by simply typing its name at the command prompt. It is a native component of the Windows operating system and part of the Windows Script Host module. It was first made available with Windows 95, but is now a standard component of all Windows operating system versions. The Windows Console Based Script Host is compatible with different Active Scripting language engines, and is also installed automatically with Internet Explorer 5 or later versions.","The original cscript.exe is an important part of Windows and rarely causes problems. The file cscript.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 126,976 bytes (55% of all occurrences), 115,712 bytes and 6 more variants. https://www.file.net/process/cscript.exe.html 
Cscript.exe is a Windows core system file. Cscript.exe is a Microsoft signed file. The program is not visible. Therefore the technical security rating is 1% dangerous, however you should also read the user reviews.","If cscript.exe is located in a subfolder of C:\Windows, the security rating is 7% dangerous. The file size is 144,384 bytes (70% of all occurrences), 126,976 bytes or 131,584 bytes. Cscript.exe is a Windows system file. Cscript.exe is a trustworthy file from Microsoft. The program is not visible.
Important: Some malware disguises itself as cscript.exe, particularly when not located in the C:\Windows\System32 folder. Therefore, you should check the cscript.exe process on your PC to see if it is a threat. We recommend Security Task Manager for verifying your computer's security. This was one of the Top Download Picks of The Washington Post and PC World."
csrss.exe,Client Server Runtime Subsystem,%SystemRoot%\System32\csrss.exe,"Created by an instance of smss.exe that exits, so analysis tools usually do not provide the parent process name.",Two or more,Local System,"Within seconds of boot time for the first 2 instances (for Session 0 and 1). Start times for additional instances occur as new sessions are created, although often only Sessions 0 and 1 are created. ","The Client/Server Run-Time Subsystem is the user-mode process for the Windows subsystem. Its duties include managing processes and threads, importing most of the DLLs that provide the Windows API, and facilitating shutdown of the GUI during system shutdown. An instance of csrss.exe will run for each session. Session 0 is for services and Session 1 for the local console session. Additional sessions are created through the use of Remote Desktop and/or Fast User Switching. Each new session results in a new instance of csrss.exe. Depending on the OS version, csrss.exe (prior to Win7/2008 R2) or its child process conhost.exe (Win7/2008 R2 and later) contain command history for instances of cmd.exe. Searching the address space for these processes is particularly useful when analyzing the memory of compromised hosts.",,
explorer.exe,Windows Explorer,%SystemRoot%\explorer.exe,"Created by an instance of userinit.exe that exits, so analysis tools usually do not provide the parent process name.",One per interactively logged-on user, <logged-on user(s)>,Starts when the owner�s interactive logon begins,"The genuine explorer.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. Explorer.exe runs the Windows Program Manager or Windows Explorer, a the graphical shell manager for the Windows operating system. This is system component that is essential for the proper functioning of Windows. It should not be removed.

Windows Explorer or Windows Program Manager manages the Graphical Shell component of the Windows operating system including the Taskbar, Start menu, desktop and file manager. It is an essential component of the Windows operating system, which when removed will cause the graphical interface to disappear. This main Window of the operating system allows users to execute programs on their PC, and is available in all versions of Microsoft Windows.","The original explorer.exe from Microsoft is an important part of Windows, but often causes problems. Explorer.exe is located in the C:\Windows folder. Known file sizes on Windows 10/8/7/XP are 1,033,728 bytes (16% of all occurrences), 2,871,808 bytes and 206 more variants. https://www.file.net/process/explorer.exe.html 
Explorer.exe is a Windows core system file. The program has a visible window. Explorer.exe is a Microsoft signed file. Explorer.exe is able to record keyboard and mouse inputs. Therefore the technical security rating is 1% dangerous, but you should also take into account the user reviews.","If explorer.exe is located in a subfolder of C:\Windows, the security rating is 77% dangerous. The file size is 138,272 bytes (1% of all occurrences), 211,968 bytes and 129 more variants. The file is not a Windows core file. There is no file information. The program has no visible window. The file is located in the Windows folder, but it is not a Windows core file. The program starts upon Windows startup (see Registry key: MACHINE\RunOnce, MACHINE\Run, Run, TaskScheduler, User Shell Folders, Winlogon\Shell, RunOnce, DEFAULT\Run, MACHINE\RunServices, MACHINE\User Shell Folders). Explorer.exe is able to monitor applications and record keyboard and mouse inputs.
If explorer.exe is located in a subfolder of the user's profile folder, the security rating is 66% dangerous. The file size is 742,400 bytes (4% of all occurrences), 102,912 bytes and 38 more variants. The explorer.exe file is not a Windows system file. The program is not visible. The process is loaded during the Windows boot process (see Registry key: MACHINE\RunOnce, MACHINE\Run, Run, TaskScheduler, User Shell Folders, Winlogon\Shell, RunOnce, DEFAULT\Run, MACHINE\RunServices, MACHINE\User Shell Folders). There is no description of the program. Explorer.exe is able to record keyboard and mouse inputs, monitor applications and manipulate other programs.
If explorer.exe is located in the C:\Windows\System32 folder, the security rating is 73% dangerous. The file size is 114,688 bytes (2% of all occurrences), 292,864 bytes and 33 more variants.
If explorer.exe is located in a subfolder of ""C:\Program Files"", the security rating is 54% dangerous. The file size is 260,608 bytes (9% of all occurrences), 3,805,931 bytes and 9 more variants.
If explorer.exe is located in the Windows folder for temporary files, the security rating is 62% dangerous. The file size is 79,872 bytes (16% of all occurrences), 51,200 bytes and 4 more variants.
If explorer.exe is located in a subfolder of C:\Windows\System32, the security rating is 87% dangerous. The file size is 81,897 bytes (20% of all occurrences), 84,989 bytes, 1,053,519 bytes, 287,744 bytes or 422,912 bytes.
If explorer.exe is located in a subfolder of C:\, the security rating is 37% dangerous. The file size is 2,872,320 bytes (50% of all occurrences), 893,454 bytes or 467,030 bytes.
If explorer.exe is located in C:\, the security rating is 37% dangerous. The file size is 2,872,320 bytes (50% of all occurrences) or 2,048 bytes.
If explorer.exe is located in a subfolder of the user's ""Documents"" folder, the security rating is 20% dangerous. The file size is 167,936 bytes.
If explorer.exe is located in a subfolder of ""C:\Program Files\Common Files"", the security rating is 82% dangerous. The file size is 77,824 bytes."
Idle,See System,,,,,,,,
intel,Internet Explorer,\Program Files\Internet Explorer\iexplore.exe [or \Program Files (x86)\Internet Explorer\iexplore.exe,explorer.exe,0 to many,<logged-on user(s)>,"Typically when user starts Internet Explorer. However, it can be started without explicit user interaction via the �-embedding� switch (in which case, parent may not be explorer.exe).","Internet Explorer (IE) is a typical desktop application launched by a user. Such applications will almost always be a child of explorer.exe. Modern versions of IE will have a sub-process for each open tab. It does this for several reasons, including enhanced security. When accessing an Internet site, IE will run the tab process with low integrity, which sandboxes the process, making it more difficult for attackers to modify sensitive areas of the registry or file system if they are able to compromise the IE child process. Attackers often name their malware iexplore.exe and place it in an alternate directory or misspell iexplore.exe as iexplorer.exe.","IExplorer.exe is not essential for Windows and will often cause problems. The iExplorer.exe file is located in a subfolder of the user's profile folder (generally C:\Users\USERNAME\AppData\Roaming\ or C:\Users\USERNAME\AppData\Roaming\Javaxii\). Known file sizes on Windows 10/8/7/XP are 750,320 bytes (26% of all occurrences), 13,179,660 bytes and 9 more variants. https://www.file.net/process/iexplorer.exe.html 
IExplorer.exe is not a Windows system file. The application starts upon Windows startup (see Registry key: Run, User Shell Folders, MACHINE\Run, MACHINE\RunServices, Userinit, MACHINE\RunServicesOnce, NT\Load, DEFAULT\Run). There is no description of the program. IExplorer.exe is able to record keyboard and mouse inputs, manipulate other programs and monitor applications. Therefore the technical security rating is 49% dangerous, however you should also read the user reviews.","If iExplorer.exe is located in a subfolder of C:\, the security rating is 64% dangerous. The file size is 645,120 bytes (33% of all occurrences), 644,545 bytes or 696,832 bytes. There is no information about the author of the file. The program has no visible window. The software is loaded during the Windows boot process (see Registry key: Run, User Shell Folders, MACHINE\Run, MACHINE\RunServices, Userinit, MACHINE\RunServicesOnce, NT\Load, DEFAULT\Run). IExplorer.exe is not a Windows core file. IExplorer.exe is able to record keyboard and mouse inputs.
If iExplorer.exe is located in the Windows folder for temporary files, the security rating is 60% dangerous. The file size is 152,576 bytes (50% of all occurrences) or 2,112 bytes. There is no information about the author of the file. The program has no visible window. The file is not a Windows system file.
If iExplorer.exe is located in a subfolder of ""C:\Program Files"", the security rating is 79% dangerous. The file size is 34,816 bytes (50% of all occurrences) or 57,344 bytes.
If iExplorer.exe is located in a subfolder of Windows folder for temporary files, the security rating is 70% dangerous. The file size is 323,048 bytes.
If iExplorer.exe is located in a subfolder of C:\Windows, the security rating is 46% dangerous. The file size is 540,672 bytes.
If iExplorer.exe is located in the C:\Windows folder, the security rating is 70% dangerous. The file size is 716,800 bytes."
lsass.exe,Local Security Authority Subsystem Service,%SystemRoot%\System32\lsass.exe,wininit.exe,One,Local System,Within seconds of boot time for the master instance,"The genuine lsass.exe file is a software component of Microsoft Windows by Microsoft Corporation.
If ""lsass.exe"" resides in ""C:\Windows\System32"", it is the Microsoft Windows Operating System's Local Security Authority Subsystem Service. Six critical Windows services involved in the computer's security management are dynamic link library (.dll) files which are called by ""lsass.exe"". These include ""vaultsvc.dll"", which controls access to credentials of users and applications; ""efssvc.dll"", central to storage of encrypted files on NTFS-type disk volumes; and ""samsrv.dll"", the Security Accounts Manager. If the real ""lsass.exe"" is forcibly stopped the machine is forced into a restart because the Welcome screen loses its account(s). It also cannot be uninstalled. In other locations, assume ""lsass.exe"" is disguised malware, which may include extremely dangerous Trojans or worms. A spyware or malware removal program may be needed to remove such files.","The original lsass.exe from Microsoft is an important part of Windows, but often causes problems. Lsass.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 13,312 bytes (75% of all occurrences), 22,528 bytes and 14 more variants. https://www.file.net/process/lsass.exe.html 
The program is not visible. Lsass.exe is a trustworthy file from Microsoft. The application uses ports to connect to or from a LAN or the Internet. Therefore the technical security rating is 14% dangerous; however you should also read the user reviews.","If lsass.exe is located in a subfolder of the user's profile folder, the security rating is 64% dangerous. The file size is 42,687 bytes (8% of all occurrences), 42,713 bytes and 42 more variants. The file is not a Windows core file. The program is not visible. There is no description of the program. The software starts when Windows starts (see Registry key: MACHINE\Run, Run, Userinit, Winlogon\Shell, User Shell Folders, MACHINE\RunOnceEx, RunOnce, exefile). Lsass.exe is able to monitor applications.
If lsass.exe is located in a subfolder of C:\Windows, the security rating is 85% dangerous. The file size is 1,591,808 bytes (16% of all occurrences), 6,790,656 bytes and 23 more variants. The file is not a Windows system file. The program has no visible window. Lsass.exe is an unknown file in the Windows folder. There is no file information. Lsass.exe is able to monitor applications, record keyboard and mouse inputs and manipulate other programs.
If lsass.exe is located in a subfolder of C:\, the security rating is 60% dangerous. The file size is 551,669 bytes (14% of all occurrences), 552,448 bytes and 23 more variants.
If lsass.exe is located in a subfolder of ""C:\Program Files"", the security rating is 69% dangerous. The file size is 4,606,976 bytes (25% of all occurrences), 196,919 bytes and 19 more variants.
If lsass.exe is located in the C:\Windows folder, the security rating is 82% dangerous. The file size is 100,000 bytes (20% of all occurrences), 983,552 bytes, 185,344 bytes, 528,398 bytes or 13,179,660 bytes.
If lsass.exe is located in the Windows folder for temporary files, the security rating is 88% dangerous. The file size is 6,790,656 bytes (25% of all occurrences), 1,591,808 bytes, 13,312 bytes or 24,064 bytes.
If lsass.exe is located in a subfolder of C:\Windows\System32, the security rating is 90% dangerous. The file size is 471,040 bytes (33% of all occurrences), 583,168 bytes or 460,288 bytes.
If lsass.exe is located in a subfolder of ""C:\Program Files\Common Files"", the security rating is 68% dangerous. The file size is 176,640 bytes (50% of all occurrences) or 218,112 bytes.
If lsass.exe is located in the user's profile folder, the security rating is 76% dangerous. The file size is 473,001 bytes.
If lsass.exe is located in the ""C:\Program Files\Common Files"" folder, the security rating is 40% dangerous. The file size is 32,256 bytes.
If lsass.exe is located in the C:\Windows\System32\drivers folder, the security rating is 72% dangerous. The file size is 32,768 bytes."
lsm.exe,Local Session Manager,%SystemRoot%\System32\lsm.exe,wininit.exe,One,Local System,"Within seconds of boot time for the first 2 instances (for Session 0 and 1). Start times for additional instances occur as new sessions are created, although often only Sessions 0 and 1 are created. ","Local Session Manager handles terminal services, including Remote Desktop sessions as well as additional local sessions via Fast User Switching. It communicates with smss.exe to start new sessions. Smss in turn creates an additional csrss.exe and winlogon.exe to support the new session. Only one instance of this process should occur prior to Windows 8 and it should never have child processes. Beginning with Windows 8, this functionality was moved to a service, utilizing a service DLL named lsm.dll (lsm.exe no longer exists). ","The original lsm.exe from Microsoft is an important part of Windows, but often causes problems. Lsm.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 267,776 bytes (57% of all occurrences), 229,888 bytes, 261,120 bytes or 269,312 bytes. https://www.file.net/process/lsm.exe.html 
The file is a Windows core system file. The program is not visible. Lsm.exe is a Microsoft signed file. Therefore the technical security rating is 2% dangerous, but you should also take into account the user reviews.","If lsm.exe is located in a subfolder of ""C:\Program Files"", the security rating is 64% dangerous. The file size is 428,032 bytes (28% of all occurrences), 204,800 bytes and 8 more variants. The file is not a Windows system file. The program is not visible. There is no information about the author of the file. Lsm.exe is able to monitor applications.
If lsm.exe is located in a subfolder of the user's profile folder, the security rating is 61% dangerous. The file size is 1,093,120 bytes (22% of all occurrences), 27,458 bytes and 6 more variants. There is no file information. The application is loaded during the Windows boot process (see Registry key: Run, win.ini, MACHINE\Run). Lsm.exe is not a Windows system file. The program is not visible. Lsm.exe is able to monitor applications, manipulate other programs and record keyboard and mouse inputs.
If lsm.exe is located in the C:\Windows folder, the security rating is 62% dangerous. The file size is 93,184 bytes (50% of all occurrences) or 111,616 bytes."
mrt.exe,Microsoft Removal Tool,,,,,,"The genuine MRT.exe file is a software component of Windows by Microsoft.
Mrt.exe is the main executable used to run the Microsoft Removal Tool. It is not a core Windows process, but should only be removed in case it is causing problems. The Microsoft Removal Tool was first released in 2005 for the Microsoft Windows operating system. It is a freely available tool and it scans your computer for some of the most common infections. If you turn on Automatic Updates in Windows, this tool will be downloaded and run on the second Tuesday of each month. It runs silently in the background unless it finds an infection. This is an effective tool, but it cannot be considered a replacement for a real anti-virus program. Microsoft was founded in 1975 by Bill Gates and Paul Allen and quickly rose to prominence following the launch of their popular operating system, MS-DOS, for early personally computers. Today Microsoft develops many different products such as computer software, consumer electronics, personal computers and services.","MRT.exe is not essential for Windows and will often cause problems. MRT.exe is located in the C:\Windows\System32 folder. The file size on Windows 10/8/7/XP is 13,179,660 bytes. https://www.file.net/process/mrt.exe.html 
The MRT.exe file is certified by a trustworthy company. MRT.exe is not a Windows system file. The program has no visible window. MRT.exe is able to monitor applications and manipulate other programs. Therefore the technical security rating is 21% dangerous; however you should also read the user reviews.","If MRT.exe is located in a subfolder of Windows folder for temporary files, the security rating is 86% dangerous. The file size is 1,484,800 bytes (88% of all occurrences) or 1,484,288 bytes. The MRT.exe file is a file with no information about its developer. It is not a Windows core file. The program is not visible. MRT.exe is able to monitor applications and manipulate other programs.
If MRT.exe is located in a subfolder of the user's profile folder, the security rating is 81% dangerous. The file size is 1,484,800 bytes (66% of all occurrences) or 1,482,240 bytes. The software has no file description. The MRT.exe file is not a Windows system file. The program has no visible window. MRT.exe is able to monitor applications and manipulate other programs."
