Description,Location
,HKCU:\Software\Classes\Local Settings\Software\Microsoft\Windows\Shell\MUICache
,HKCU:\Software\Microsoft\Windows NT\CurrentVersion\Windows\load 
,HKCU:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\\Shell 
,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run 
,HKCU:\Software\Microsoft\Windows\CurrentVersion\Run 
,HKCU:\Software\Microsoft\Windows\CurrentVersion\RunOnce 
,HKCU:\Software\Microsoft\Windows\CurrentVersion\RunServices 
,HKCU:\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce 
,HKCU:\Software\Microsoft\Windows\ShellNoRoam\MUICache
,HKLM:\Software\Wow6432Node\Microsoft\Cryptography\Providers\Trust\FinalPolicy\{SIP Guid}
Debugger,HKLM:\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Image File Execution Options
,HKLM:\Software\Classes\*\ShellEx
,HKLM:\Software\Classes\AllFileSystemObjects\ShellEx
,HKLM:\Software\Classes\CLSID\{083863F1-70DE-11d0-BD40-00A0C911CE86}\Instance
,HKLM:\Software\Classes\Directory\ShellEx
,HKLM:\Software\Classes\Folder\ShellEx
,HKLM:\Software\Classes\Htmlfile\Shell\Open\Command
,HKLM:\Software\Classes\Protocols\Filter
,HKLM:\Software\Classes\Protocols\Handler
,HKLM:\Software\Clients\Mail
,HKLM:\Software\Microsoft\.NETFramework
,HKLM:\Software\Microsoft\Active Setup\Installed Components
,HKLM:\Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{SIP Guid}
,HKLM:\Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllVerifyIndirectData\{SIP Guid}
,HKLM:\Software\Microsoft\Cryptography\Providers\Trust\FinalPolicy\{SIP Guid}
,HKLM:\Software\Microsoft\Internet Explorer\Toolbar
,HKLM:\Software\Microsoft\Office\Excel\Addins
,HKLM:\Software\Microsoft\Office\Outlook\Addins
,HKLM:\Software\Microsoft\Office\PowerPoint\Addins
,HKLM:\Software\Microsoft\Office\Word\Addins
,HKLM:\Software\Microsoft\Terminal Server Client
,HKLM:\Software\Microsoft\VBA\Monitors
"Noisy, but can detect WMI attacks",HKLM:\Software\Microsoft\WBEM\CIMOM
Look for new providers,HKLM:\Software\Microsoft\WBEM\ESS 
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\AeDebug
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Drivers32
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Font Drivers
Debugger,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\SystemRestore
Load,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Windows
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Windows 
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\\Shell 
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Notify 
,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit 
,HKLM:\Software\Microsoft\Windows\CurrentVersion\App Paths
,HKLM:\Software\Microsoft\Windows\CurrentVersion\Authentication\Credential Provider Filters
,HKLM:\Software\Microsoft\Windows\CurrentVersion\Authentication\Credential Providers
,HKLM:\Software\Microsoft\Windows\CurrentVersion\Authentication\PLAP Providers
,HKLM:\Software\Microsoft\Windows\CurrentVersion\Explorer\Browser Helper Objects
,HKLM:\Software\Microsoft\Windows\CurrentVersion\Explorer\SharedTaskScheduler
Explorer,HKLM:\Software\Microsoft\Windows\CurrentVersion\Explorer\ShellExecuteHooks
Explorer,HKLM:\Software\Microsoft\Windows\CurrentVersion\Explorer\ShellIconOverlayIdentifiers
Explorer,HKLM:\Software\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects
Explorer,HKLM:\Software\Microsoft\Windows\CurrentVersion\Explorer\TBDEn
Grout Policy Scripts,HKLM:\Software\Microsoft\Windows\CurrentVersion\Group Policy\Scripts
Explorer,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run 
Audit Command Line log settings,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Audit
Run,HKLM:\Software\Microsoft\Windows\CurrentVersion\Run
Run,HKLM:\Software\Microsoft\Windows\CurrentVersion\Run 
Run Once,HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce
Run Once,HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce 
Run Once Ex,HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnceEx 
Run Services,HKLM:\Software\Microsoft\Windows\CurrentVersion\RunServices 
Run Services Once,HKLM:\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce 
Shell Extensions,HKLM:\Software\Microsoft\Windows\CurrentVersion\Shell Extensions
,HKLM:\Software\Microsoft\Windows\CurrentVersion\ShellServiceObjectDelayLoad 
Audit PowerShell log settings,HKLM:\Software\Policies\Microsoft\PowerShell
Startup/Shutdown,HKLM:\Software\Policies\Microsoft\Windows\System\Scripts
,HKLM:\Software\Wow6432Node\Classes\*\ShellEx
,HKLM:\Software\Wow6432Node\Classes\AllFileSystemObjects\ShellEx
,HKLM:\Software\Wow6432Node\Classes\CLSID\{083863F1-70DE-11d0-BD40-00A0C911CE86}\Instance
,HKLM:\Software\Wow6432Node\Classes\Directory\ShellEx
,HKLM:\Software\Wow6432Node\Classes\Folder\ShellEx
,HKLM:\Software\Wow6432Node\Microsoft\.NETFramework
,HKLM:\Software\Wow6432Node\Microsoft\Active Setup\Installed Components
,HKLM:\Software\Wow6432Node\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{SIP Guid}
,HKLM:\Software\Wow6432Node\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllVerifyIndirectData\{SIP Guid}
,HKLM:\Software\Wow6432Node\Microsoft\Office\Excel\Addins
,HKLM:\Software\Wow6432Node\Microsoft\Office\Outlook\Addins
,HKLM:\Software\Wow6432Node\Microsoft\Office\PowerPoint\Addins
,HKLM:\Software\Wow6432Node\Microsoft\Office\Word\Addins
,HKLM:\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\AeDebug
,HKLM:\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Drivers32
Explorer,HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\ShellExecuteHooks
Explorer,HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\ShellIconOverlayIdentifiers
Explorer,HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects
Run,HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Run
Run Once,HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\RunOnce
,HKLM:\System\CurrentControlSet\Control
,HKLM:\System\CurrentControlSet\Control\Lsa
,HKLM:\System\CurrentControlSet\Control\NetworkProvider\Order
,HKLM:\System\CurrentControlSet\Control\Print\Monitors
,HKLM:\System\CurrentControlSet\Control\SafeBoot
,HKLM:\System\CurrentControlSet\Control\SecurityProviders\SecurityProviders
,HKLM:\System\CurrentControlSet\Control\SecurityProviders\SecurityProviders\WDigest
,HKLM:\System\CurrentControlSet\Control\Session Manager
,HKLM:\System\CurrentControlSet\Control\Session Manager\BootExecute 
,HKLM:\System\CurrentControlSet\Control\Session Manager\Environment
Look for new addins,HKLM:\System\CurrentControlSet\Control\Terminal Server\AddIns
,HKLM:\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd
Startup Programs,HKLM:\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms
"Services (start value: 2=auto-start, 3=manual start via SCM)",HKLM:\System\CurrentControlSet\Services 
BITS,HKLM:\System\CurrentControlSet\Services\BITS
Netlogon,HKLM:\System\CurrentControlSet\Services\Netlogon
NTDS,HKLM:\System\CurrentControlSet\Services\NTDS
Ready Books,HKLM:\System\CurrentControlSet\Services\rdyboost\Parameters
Remote Access,HKLM:\System\CurrentControlSet\Services\RemoteAccess
Shared Access,HKLM:\System\CurrentControlSet\Services\Shared Access\Epoch2
Shared Access,HKLM:\System\CurrentControlSet\Services\SharedAccess\Epoch
TCP/IP,HKLM:\System\CurrentControlSet\Services\Tcpip
Volume Shadow Service,HKLM:\System\CurrentControlSet\Services\VSS
,HKLM:\System\CurrentControlSet\Services\WinSock2
,HKLM:\System\CurrentControlSet\Services\WmiApRpl
