"PSComputerName","RunspaceId","PSShowComputerName","CanonicalName","DistinguishedName","DNSHostName","Enabled","IPv4Address","Name","ObjectClass","ObjectGUID","OperatingSystem","SamAccountName","SID","UserPrincipalName"
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/Domain Controllers/DC1","CN=DC1,OU=Domain Controllers,DC=MobileLab,DC=home","DC1.MobileLab.home","True","169.254.79.222","DC1","computer","3f19b2d3-7532-45fd-ab7f-e746849648cc","Windows Server 2012 R2 Datacenter","DC1$","S-1-5-21-3036625279-3127291219-2495432101-1005",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/Servers/Administrative/WSUS","CN=WSUS,OU=Administrative,OU=Servers,DC=MobileLab,DC=home","WSUS.MobileLab.home","True","10.10.10.23","WSUS","computer","a52175e0-4e3c-4a47-9cd4-33526303370f","Windows Server 2012 R2 Datacenter","WSUS$","S-1-5-21-3036625279-3127291219-2495432101-1108",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/Servers/Administrative/APP","CN=APP,OU=Administrative,OU=Servers,DC=MobileLab,DC=home","APP.MobileLab.home","True","10.10.10.22","APP","computer","0d7d345e-43a5-40b4-aa16-43897d86641d","Windows Server 2012 R2 Datacenter","APP$","S-1-5-21-3036625279-3127291219-2495432101-1109",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/Domain Controllers/DC2","CN=DC2,OU=Domain Controllers,DC=MobileLab,DC=home","DC2.MobileLab.home","True","10.10.10.21","DC2","computer","d6f3600e-707a-4712-a969-0ef12efe56e4","Windows Server 2012 R2 Datacenter","DC2$","S-1-5-21-3036625279-3127291219-2495432101-1110",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/US Branch/Management/WIN81-01","CN=WIN81-01,OU=Management,OU=US Branch,DC=MobileLab,DC=home","Win81-01.MobileLab.home","True","10.10.10.100","WIN81-01","computer","1c3876cb-fe8a-4a54-acc2-93c703b0da68","Windows 8.1 Pro","WIN81-01$","S-1-5-21-3036625279-3127291219-2495432101-1111",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/US Branch/Guest/WIN81-03","CN=WIN81-03,OU=Guest,OU=US Branch,DC=MobileLab,DC=home","Win81-03.MobileLab.home","True","10.10.10.102","WIN81-03","computer","d2744733-5f01-4660-b47b-fd93b96c99e7","Windows 8.1 Pro","WIN81-03$","S-1-5-21-3036625279-3127291219-2495432101-1112",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/US Branch/Management/WIN81-02","CN=WIN81-02,OU=Management,OU=US Branch,DC=MobileLab,DC=home","Win81-02.MobileLab.home","True","10.10.10.101","WIN81-02","computer","1a986be5-1c7c-4ef3-880e-189a6bc32d8c","Windows 8.1 Pro","WIN81-02$","S-1-5-21-3036625279-3127291219-2495432101-1113",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/US Branch/Employee/WIN81-04","CN=WIN81-04,OU=Employee,OU=US Branch,DC=MobileLab,DC=home","Win81-04.MobileLab.home","True","10.10.10.103","WIN81-04","computer","da9dfbac-c8b3-4b18-ab47-e8c031c55f9a","Windows 8.1 Pro","WIN81-04$","S-1-5-21-3036625279-3127291219-2495432101-1114",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/Europe Branch/Remote Support/WINXP-01","CN=WINXP-01,OU=Remote Support,OU=Europe Branch,DC=MobileLab,DC=home","winxp-01.MobileLab.home","True","10.10.10.105","WINXP-01","computer","95a3518c-386b-4465-8ed3-157d4acd5fde","Windows XP Professional","WINXP-01$","S-1-5-21-3036625279-3127291219-2495432101-1115",
"dc1","c1ee3452-f437-43e9-b262-281ff1dbece0","True","MobileLab.home/Servers/Business/FILE","CN=FILE,OU=Business,OU=Servers,DC=MobileLab,DC=home","File.MobileLab.home","True","10.10.10.104","FILE","computer","ffe79ddf-7316-47e7-aee7-838711b787f1","Windows Server 2012 R2 Datacenter","FILE$","S-1-5-21-3036625279-3127291219-2495432101-1116",
