"Name","OperatingSystem","CanonicalName","OperatingSystemHotfix","OperatingSystemServicePack","Enabled","LockedOut","LogonCount","Created","Modified","LastLogonDate","MemberOf","isCriticalSystemObject","HomedirRequired","Location","ProtectedFromAccidentalDeletion","TrustedForDelegation","SID","IPv4Address","MACAddress","PortScan","Notes"
"DC01","Windows Server 2012 R2 Standard","/Domain Controllers","No Operating System Hotfixes","No Operating System Service Packs","True","False","524","6/28/2020 10:57:02 PM","6/19/2021 12:07:17 PM","12/26/2022 4:48:51 AM","No Groups","True","No Home Dir Required","No Location","False","True","S-1-5-21-3036625279-3127291219-2495432101-1396","10.10.10.105","No MAC Available","No Ports","[ooooooooooo] No Notes Available"
"WSUS","Windows Server 2012 R2 Datacenter","/Servers/Administrative","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","1/28/2020 8:21:00 PM","6/28/2020 11:12:39 PM","3/7/2020 10:41:32 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1108","10.10.10.23","No MAC Available","No Ports","No Notes Available"
"APP","Windows Server 2012 R2 Datacenter","/Servers/Administrative","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","1/28/2020 8:31:34 PM","6/28/2020 11:12:39 PM","6/16/2020 1:31:34 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1109","10.10.10.22","No MAC Available","No Ports","No Notes Available"
"WIN81-01","Windows 8.1 Pro","/US Branch/Management","No Operating System Hotfixes","No Operating System Service Packs","True","False","79","1/29/2020 1:49:18 AM","5/7/2021 10:30:43 AM","5/7/2021 10:15:48 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1111","10.10.10.81","No MAC Available","No Ports","No Notes Available"
"WIN81-03","Windows 8.1 Pro","/US Branch/Guest","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","1/29/2020 1:51:41 AM","6/28/2020 11:12:39 PM","3/14/2020 2:26:49 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1112","10.10.10.102","No MAC Available","No Ports","No Notes Available"
"WIN81-02","Windows 8.1 Pro","/US Branch/Management","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","1/29/2020 1:53:42 AM","6/28/2020 11:12:39 PM","3/13/2020 11:19:04 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1113","10.10.10.101","No MAC Available","No Ports","No Notes Available"
"WIN81-04","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","1/29/2020 1:55:04 AM","6/28/2020 11:12:39 PM","3/13/2020 11:36:11 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1114","10.10.10.103","No MAC Available","No Ports","No Notes Available"
"FILE","Windows Server 2012 R2 Datacenter","/Servers/Business","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","1/29/2020 2:25:35 AM","6/28/2020 11:12:39 PM","6/25/2020 10:01:32 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1116","10.10.10.104","No MAC Available","No Ports","No Notes Available"
"WIN81-09A","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","2/1/2020 6:00:04 PM","6/28/2020 11:12:39 PM","5/24/2020 9:08:15 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1118","10.10.10.111","No MAC Available","No Ports","No Notes Available"
"Win81-07","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","2/1/2020 6:00:24 PM","2/9/2021 12:45:53 AM","2/9/2021 12:45:53 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1120","10.10.10.109","No MAC Available","No Ports","No Notes Available"
"Win81-08","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","2/1/2020 6:00:13 PM","6/28/2020 11:12:39 PM","6/25/2020 11:26:34 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1119","10.10.10.110","No MAC Available","No Ports","No Notes Available"
"WIN81-06A","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","2/1/2020 6:00:33 PM","6/28/2020 11:12:39 PM","5/24/2020 9:08:12 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1121","10.10.10.108","No MAC Available","No Ports","No Notes Available"
"WIN81-05A","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","False","False","0","2/1/2020 6:00:43 PM","6/28/2020 11:12:39 PM","6/15/2020 9:28:18 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1122","No IP Available","No MAC Available","No Ports","No Notes Available"
"WIN81-10","Windows 8.1 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","0","2/4/2020 12:36:58 AM","6/28/2020 11:12:39 PM","6/25/2020 9:35:42 PM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1123","10.10.10.116","No MAC Available","No Ports","No Notes Available"
"WIN10-03","Windows 10 Pro","/US Branch/Employee","No Operating System Hotfixes","No Operating System Service Packs","True","False","139","2/23/2020 1:19:17 AM","5/7/2021 10:14:03 AM","5/7/2021 10:14:03 AM","No Groups","False","No Home Dir Required","No Location","False","False","S-1-5-21-3036625279-3127291219-2495432101-1127","10.10.10.103","No MAC Available","No Ports","No Notes Available"
